Time period and codes,"Alcoholic beverages and tobacco
[note 1]","Alcoholic beverages
[note 1]","Spirits
[note 1]","Wines, cider and perry
[note 1]","Beer
[note 1]",Tobacco,other Tobacco,Narcotics,other Narcotics
COICOP identifier code,2,2.1,02.1.1,02.1.2,02.1.3,2.2,02.2.1,2.3,02.3.1
CDID identifier code,ADFL,ADFM,UUHX,UTHT,UUMI,ADFN,ADFN,MNC2,MNC2
1997 Q1,"7,265","2,077",620,852,605,"3,069","3,069","2,119","2,119"
1997 Q2,"7,576","2,335",630,975,730,"3,134","3,134","2,107","2,107"
1997 Q3,"7,512","2,313",585,933,795,"3,115","3,115","2,084","2,084"
1997 Q4,"8,193","2,990",916,"1,226",848,"3,153","3,153","2,050","2,050"
1998 Q1,"7,520","2,171",587,908,676,"3,339","3,339","2,010","2,010"
1998 Q2,"7,893","2,561",625,"1,048",888,"3,362","3,362","1,970","1,970"
1998 Q3,"7,639","2,402",596,989,817,"3,301","3,301","1,936","1,936"
1998 Q4,"8,247","3,077",933,"1,262",882,"3,259","3,259","1,911","1,911"
1999 Q1,"7,630","2,251",633,973,645,"3,484","3,484","1,895","1,895"
1999 Q2,"7,958","2,531",666,"1,107",758,"3,540","3,540","1,887","1,887"
1999 Q3,"7,921","2,481",622,"1,057",802,"3,555","3,555","1,885","1,885"
1999 Q4,"8,679","3,292",990,"1,404",898,"3,499","3,499","1,888","1,888"
2000 Q1,"7,690","2,305",629,"1,037",639,"3,493","3,493","1,892","1,892"
2000 Q2,"8,105","2,603",647,"1,153",803,"3,605","3,605","1,897","1,897"
2000 Q3,"8,063","2,620",636,"1,158",826,"3,546","3,546","1,897","1,897"
2000 Q4,"8,783","3,396","1,013","1,484",899,"3,495","3,495","1,892","1,892"
2001 Q1,"7,792","2,401",638,"1,092",671,"3,508","3,508","1,883","1,883"
2001 Q2,"8,152","2,676",665,"1,221",790,"3,609","3,609","1,867","1,867"
2001 Q3,"8,070","2,650",636,"1,207",807,"3,574","3,574","1,846","1,846"
2001 Q4,"8,712","3,384",986,"1,517",881,"3,510","3,510","1,818","1,818"
