Time period and codes,Communication,Postal services,Other Postal services,Telephone and telefax equipment,Other Telephone and telefax equipment,Telephone and telefax services,Other Telephone and telefax services
COICOP identifier code,8,8.1,08.1.1,8.2,08.2.1,8.3,08.3.1
CDID identifier code,ADGX,CDEF,CDEF 2,ADWO,ADWO 2,ADWP,ADWP 2
1997 Q1,"3,344",228,228,248,248,"2,868","2,868"
1997 Q2,"3,452",250,250,305,305,"2,897","2,897"
1997 Q3,"3,508",198,198,339,339,"2,971","2,971"
1997 Q4,"3,852",431,431,415,415,"3,006","3,006"
1998 Q1,"3,672",178,178,502,502,"2,992","2,992"
1998 Q2,"3,743",157,157,446,446,"3,140","3,140"
1998 Q3,"3,791",139,139,470,470,"3,182","3,182"
1998 Q4,"4,138",305,305,615,615,"3,218","3,218"
1999 Q1,"3,928",164,164,552,552,"3,212","3,212"
1999 Q2,"3,899",160,160,541,541,"3,198","3,198"
1999 Q3,"3,990",136,136,568,568,"3,286","3,286"
1999 Q4,"4,358",290,290,701,701,"3,367","3,367"
2000 Q1,"4,357",133,133,755,755,"3,469","3,469"
2000 Q2,"4,257",131,131,637,637,"3,489","3,489"
2000 Q3,"4,357",134,134,664,664,"3,559","3,559"
2000 Q4,"4,718",300,300,857,857,"3,561","3,561"
2001 Q1,"4,453",180,180,714,714,"3,559","3,559"
2001 Q2,"4,356",167,167,710,710,"3,479","3,479"
2001 Q3,"4,387",166,166,709,709,"3,512","3,512"
2001 Q4,"4,898",339,339,972,972,"3,587","3,587"
2002 Q1,"4,410",137,137,743,743,"3,530","3,530"
2002 Q2,"4,452",112,112,707,707,"3,633","3,633"
2002 Q3,"4,449",100,100,684,684,"3,665","3,665"
2002 Q4,"4,802",224,224,817,817,"3,761","3,761"
2003 Q1,"4,643",126,126,821,821,"3,696","3,696"
2003 Q2,"4,652",142,142,741,741,"3,769","3,769"
2003 Q3,"4,745",151,151,731,731,"3,863","3,863"
2003 Q4,"5,179",351,351,855,855,"3,973","3,973"
2004 Q1,"5,295",161,161,"1,069","1,069","4,065","4,065"
2004 Q2,"5,254",137,137,944,944,"4,173","4,173"
2004 Q3,"5,269",145,145,949,949,"4,175","4,175"
2004 Q4,"5,521",281,281,"1,074","1,074","4,166","4,166"
2005 Q1,"5,293",152,152,968,968,"4,173","4,173"
2005 Q2,"5,269",139,139,977,977,"4,153","4,153"
2005 Q3,"5,391",135,135,"1,040","1,040","4,216","4,216"
2005 Q4,"5,903",281,281,"1,299","1,299","4,323","4,323"
2006 Q1,"5,508",135,135,993,993,"4,380","4,380"
2006 Q2,"5,524",118,118,"1,019","1,019","4,387","4,387"
2006 Q3,"5,502",128,128,"1,033","1,033","4,341","4,341"
2006 Q4,"5,898",284,284,"1,260","1,260","4,354","4,354"
2007 Q1,"5,515",167,167,970,970,"4,378","4,378"
2007 Q2,"5,455",155,155,972,972,"4,328","4,328"
2007 Q3,"5,600",144,144,"1,003","1,003","4,453","4,453"
2007 Q4,"6,155",313,313,"1,258","1,258","4,584","4,584"
2008 Q1,"5,618",149,149,926,926,"4,543","4,543"
2008 Q2,"5,707",103,103,966,966,"4,638","4,638"
2008 Q3,"5,573",95,95,971,971,"4,507","4,507"
2008 Q4,"5,848",230,230,"1,118","1,118","4,500","4,500"
2009 Q1,"5,306",139,139,873,873,"4,294","4,294"
2009 Q2,"5,406",119,119,872,872,"4,415","4,415"
2009 Q3,"5,453",134,134,957,957,"4,362","4,362"
2009 Q4,"5,837",277,277,"1,190","1,190","4,370","4,370"
2010 Q1,"5,380",131,131,758,758,"4,491","4,491"
2010 Q2,"5,626",129,129,793,793,"4,704","4,704"
2010 Q3,"5,877",172,172,934,934,"4,771","4,771"
2010 Q4,"6,580",345,345,"1,366","1,366","4,869","4,869"
2011 Q1,"5,964",146,146,"1,008","1,008","4,810","4,810"
2011 Q2,"5,792",135,135,925,925,"4,732","4,732"
2011 Q3,"5,967",148,148,984,984,"4,835","4,835"
2011 Q4,"6,877",358,358,"1,573","1,573","4,946","4,946"
2012 Q1,"6,228",184,184,"1,142","1,142","4,902","4,902"
2012 Q2,"6,134",171,171,"1,117","1,117","4,846","4,846"
2012 Q3,"6,337",158,158,"1,286","1,286","4,893","4,893"
2012 Q4,"7,068",399,399,"1,821","1,821","4,848","4,848"
2013 Q1,"6,269",167,167,"1,168","1,168","4,934","4,934"
2013 Q2,"6,052",145,145,"1,117","1,117","4,790","4,790"
2013 Q3,"6,097",147,147,"1,249","1,249","4,701","4,701"
2013 Q4,"7,128",292,292,"1,935","1,935","4,901","4,901"
2014 Q1,"6,021",144,144,929,929,"4,948","4,948"
2014 Q2,"5,789",125,125,829,829,"4,835","4,835"
2014 Q3,"6,011",158,158,938,938,"4,915","4,915"
2014 Q4,"6,728",380,380,"1,379","1,379","4,969","4,969"
2015 Q1,"6,006",192,192,884,884,"4,930","4,930"
2015 Q2,"5,909",182,182,852,852,"4,875","4,875"
2015 Q3,"6,156",191,191,"1,093","1,093","4,872","4,872"
2015 Q4,"7,060",562,562,"1,595","1,595","4,903","4,903"
2016 Q1,"6,645",203,203,"1,491","1,491","4,951","4,951"
2016 Q2,"6,752",189,189,"1,555","1,555","5,008","5,008"
2016 Q3,"7,055",227,227,"1,725","1,725","5,103","5,103"
2016 Q4,"8,372",481,481,"2,711","2,711","5,180","5,180"
2017 Q1,"6,716",214,214,"1,320","1,320","5,182","5,182"
2017 Q2,"6,884",201,201,"1,354","1,354","5,329","5,329"
2017 Q3,"7,156",245,245,"1,554","1,554","5,357","5,357"
2017 Q4,"8,404",536,536,"2,378","2,378","5,490","5,490"
2018 Q1,"6,899",222,222,"1,464","1,464","5,213","5,213"
2018 Q2,"6,703",197,197,"1,331","1,331","5,175","5,175"
2018 Q3,"6,874",202,202,"1,478","1,478","5,194","5,194"
2018 Q4,"7,957",445,445,"2,347","2,347","5,165","5,165"
2019 Q1,"6,604",202,202,"1,291","1,291","5,111","5,111"
2019 Q2,"6,629",191,191,"1,358","1,358","5,080","5,080"
2019 Q3,"6,849",204,204,"1,536","1,536","5,109","5,109"
2019 Q4,"8,160",436,436,"2,248","2,248","5,476","5,476"
2020 Q1,"6,930",221,221,"1,384","1,384","5,325","5,325"
2020 Q2,"6,834",231,231,"1,195","1,195","5,408","5,408"
2020 Q3,"7,428",226,226,"1,536","1,536","5,666","5,666"
2020 Q4,"8,373",529,529,"2,245","2,245","5,599","5,599"
2021 Q1,"6,733",273,273,859,859,"5,601","5,601"
2021 Q2,"6,937",251,251,"1,005","1,005","5,681","5,681"
2021 Q3,"7,105",237,237,"1,152","1,152","5,716","5,716"
2021 Q4,"8,102",566,566,"1,706","1,706","5,830","5,830"
2022 Q1,"7,553",230,230,"1,466","1,466","5,857","5,857"
2022 Q2,"7,404",240,240,"1,369","1,369","5,795","5,795"
2022 Q3,"7,477",223,223,"1,398","1,398","5,856","5,856"
2022 Q4,"7,747",420,420,"1,638","1,638","5,689","5,689"
2023 Q1,"7,186",212,212,"1,125","1,125","5,849","5,849"
2023 Q2,"7,337",229,229,"1,038","1,038","6,070","6,070"
2023 Q3,"7,393",211,211,"1,098","1,098","6,084","6,084"
2023 Q4,"8,417",517,517,"1,803","1,803","6,097","6,097"
2024 Q1,"7,877",247,247,"1,611","1,611","6,019","6,019"
2024 Q2,"7,809",263,263,"1,493","1,493","6,053","6,053"
2024 Q3,"8,096",251,251,"1,755","1,755","6,090","6,090"
2024 Q4,"9,199",580,580,"2,462","2,462","6,157","6,157"
