Time period and codes,Education,Other education expenses,Other core education expenses
COICOP identifier code,10,10.1,10.1.1
CDID identifier code,ADIE,ADIE 2,ADIE 3
1997 Q1,"1,380","1,380","1,380"
1997 Q2,"1,404","1,404","1,404"
1997 Q3,"1,434","1,434","1,434"
1997 Q4,"1,462","1,462","1,462"
1998 Q1,"1,492","1,492","1,492"
1998 Q2,"1,521","1,521","1,521"
1998 Q3,"1,548","1,548","1,548"
1998 Q4,"1,572","1,572","1,572"
1999 Q1,"1,653","1,653","1,653"
1999 Q2,"1,608","1,608","1,608"
1999 Q3,"1,584","1,584","1,584"
1999 Q4,"1,591","1,591","1,591"
2000 Q1,"1,400","1,400","1,400"
2000 Q2,"1,643","1,643","1,643"
2000 Q3,"1,789","1,789","1,789"
2000 Q4,"1,845","1,845","1,845"
2001 Q1,"1,802","1,802","1,802"
2001 Q2,"1,862","1,862","1,862"
2001 Q3,"1,906","1,906","1,906"
2001 Q4,"1,930","1,930","1,930"
2002 Q1,"1,942","1,942","1,942"
2002 Q2,"1,944","1,944","1,944"
2002 Q3,"1,947","1,947","1,947"
2002 Q4,"1,964","1,964","1,964"
2003 Q1,"1,978","1,978","1,978"
2003 Q2,"2,000","2,000","2,000"
2003 Q3,"2,031","2,031","2,031"
2003 Q4,"2,070","2,070","2,070"
2004 Q1,"2,117","2,117","2,117"
2004 Q2,"2,158","2,158","2,158"
2004 Q3,"2,190","2,190","2,190"
2004 Q4,"2,216","2,216","2,216"
2005 Q1,"2,235","2,235","2,235"
2005 Q2,"2,250","2,250","2,250"
2005 Q3,"2,291","2,291","2,291"
2005 Q4,"2,336","2,336","2,336"
2006 Q1,"2,382","2,382","2,382"
2006 Q2,"2,449","2,449","2,449"
2006 Q3,"2,529","2,529","2,529"
2006 Q4,"2,624","2,624","2,624"
2007 Q1,"2,748","2,748","2,748"
2007 Q2,"2,850","2,850","2,850"
2007 Q3,"2,928","2,928","2,928"
2007 Q4,"3,001","3,001","3,001"
2008 Q1,"3,020","3,020","3,020"
2008 Q2,"3,042","3,042","3,042"
2008 Q3,"3,098","3,098","3,098"
2008 Q4,"3,162","3,162","3,162"
2009 Q1,"3,299","3,299","3,299"
2009 Q2,"3,385","3,385","3,385"
2009 Q3,"3,467","3,467","3,467"
2009 Q4,"3,519","3,519","3,519"
2010 Q1,"3,582","3,582","3,582"
2010 Q2,"3,617","3,617","3,617"
2010 Q3,"3,661","3,661","3,661"
2010 Q4,"3,715","3,715","3,715"
2011 Q1,"3,794","3,794","3,794"
2011 Q2,"3,833","3,833","3,833"
2011 Q3,"3,903","3,903","3,903"
2011 Q4,"3,979","3,979","3,979"
2012 Q1,"4,009","4,009","4,009"
2012 Q2,"4,105","4,105","4,105"
2012 Q3,"4,219","4,219","4,219"
2012 Q4,"4,587","4,587","4,587"
2013 Q1,"4,553","4,553","4,553"
2013 Q2,"4,630","4,630","4,630"
2013 Q3,"4,868","4,868","4,868"
2013 Q4,"4,960","4,960","4,960"
2014 Q1,"5,141","5,141","5,141"
2014 Q2,"5,303","5,303","5,303"
2014 Q3,"5,467","5,467","5,467"
2014 Q4,"5,629","5,629","5,629"
2015 Q1,"5,788","5,788","5,788"
2015 Q2,"5,940","5,940","5,940"
2015 Q3,"6,079","6,079","6,079"
2015 Q4,"6,209","6,209","6,209"
2016 Q1,"6,332","6,332","6,332"
2016 Q2,"6,437","6,437","6,437"
2016 Q3,"6,530","6,530","6,530"
2016 Q4,"6,608","6,608","6,608"
2017 Q1,"6,674","6,674","6,674"
2017 Q2,"6,744","6,744","6,744"
2017 Q3,"6,826","6,826","6,826"
2017 Q4,"6,918","6,918","6,918"
2018 Q1,"7,021","7,021","7,021"
2018 Q2,"7,106","7,106","7,106"
2018 Q3,"7,172","7,172","7,172"
2018 Q4,"7,222","7,222","7,222"
2019 Q1,"7,270","7,270","7,270"
2019 Q2,"7,303","7,303","7,303"
2019 Q3,"7,327","7,327","7,327"
2019 Q4,"7,347","7,347","7,347"
2020 Q1,"7,505","7,505","7,505"
2020 Q2,"7,362","7,362","7,362"
2020 Q3,"7,450","7,450","7,450"
2020 Q4,"7,687","7,687","7,687"
2021 Q1,"7,851","7,851","7,851"
2021 Q2,"8,021","8,021","8,021"
2021 Q3,"8,193","8,193","8,193"
2021 Q4,"8,370","8,370","8,370"
2022 Q1,"8,526","8,526","8,526"
2022 Q2,"8,751","8,751","8,751"
2022 Q3,"8,970","8,970","8,970"
2022 Q4,"9,226","9,226","9,226"
2023 Q1,"9,296","9,296","9,296"
2023 Q2,"9,464","9,464","9,464"
2023 Q3,"9,633","9,633","9,633"
2023 Q4,"9,803","9,803","9,803"
2024 Q1,"9,974","9,974","9,974"
2024 Q2,"10,146","10,146","10,146"
2024 Q3,"10,323","10,323","10,323"
2024 Q4,"10,499","10,499","10,499"
