Time period and codes,Food and non-alcoholic beverages,Food,Bread and cereals,Meat,Fish,"Milk, cheese and eggs",Oils and fats,Fruit,Vegetables,"Sugar, confectionery and ice-cream",Other food,Non-alcoholic beverages,"Coffee, tea and cocoa",Fruit and vegetable juices and other soft drinks
COICOP identifier code,01,01.1,01.1.1,01.1.2,01.1.3,01.1.4,01.1.5,01.1.6,01.1.7,01.1.8,01.1.9,01.2,01.2.1,01.2.2
CDID identifier code,ABZV,ABZW,ADST,CDCJ,CDCK,CDCL,CDCM,CDCN,ADSZ,ADTD,ADTH,ADFK,CDCU,CDCV
1997 Q1,"12,950","11,764","2,280","2,725",457,"1,887",409,736,"1,620","1,099",551,"1,186",282,904
1997 Q2,"13,456","12,124","2,291","2,714",462,"1,880",408,900,"1,825","1,124",520,"1,332",317,"1,015"
1997 Q3,"12,997","11,672","2,236","2,608",438,"1,861",380,869,"1,608","1,212",460,"1,325",275,"1,050"
1997 Q4,"14,085","12,758","2,498","2,958",461,"1,867",418,842,"1,726","1,387",601,"1,327",336,991
1998 Q1,"13,198","11,938","2,230","2,677",466,"1,894",366,804,"1,765","1,181",555,"1,260",312,948
1998 Q2,"14,077","12,585","2,356","2,762",493,"1,923",391,917,"1,972","1,257",514,"1,492",315,"1,177"
1998 Q3,"13,879","12,357","2,335","2,659",474,"1,787",357,"1,027","1,859","1,355",504,"1,522",313,"1,209"
1998 Q4,"14,368","12,927","2,476","2,850",482,"1,808",439,889,"1,830","1,508",645,"1,441",340,"1,101"
1999 Q1,"13,846","12,360","2,269","2,759",468,"1,820",428,825,"1,968","1,226",597,"1,486",371,"1,115"
1999 Q2,"14,966","13,286","2,432","2,872",557,"1,916",436,"1,056","2,113","1,245",659,"1,680",341,"1,339"
1999 Q3,"14,285","12,614","2,309","2,756",502,"1,855",429,998,"1,841","1,382",542,"1,671",303,"1,368"
1999 Q4,"14,070","12,658","2,379","2,811",476,"1,794",455,841,"1,760","1,519",623,"1,412",306,"1,106"
2000 Q1,"13,954","12,427","2,327","2,810",512,"1,838",389,845,"1,852","1,223",631,"1,527",351,"1,176"
2000 Q2,"14,323","12,601","2,392","2,706",530,"1,821",381,"1,035","1,968","1,234",534,"1,722",336,"1,386"
2000 Q3,"14,090","12,435","2,263","2,763",505,"1,813",364,"1,003","1,870","1,365",489,"1,655",311,"1,344"
2000 Q4,"14,831","13,251","2,478","3,033",557,"1,851",416,922,"1,896","1,531",567,"1,580",336,"1,244"
2001 Q1,"14,255","12,624","2,275","2,800",545,"1,894",440,882,"1,950","1,240",598,"1,631",380,"1,251"
2001 Q2,"14,711","12,949","2,331","2,809",577,"1,731",417,"1,071","2,213","1,268",532,"1,762",331,"1,431"
2001 Q3,"14,527","12,759","2,422","2,927",583,"1,723",386,999,"1,985","1,215",519,"1,768",321,"1,447"
2001 Q4,"15,828","14,068","2,648","3,106",601,"1,805",438,985,"1,979","1,799",707,"1,760",348,"1,412"
2002 Q1,"14,544","12,948","2,360","2,839",633,"1,720",417,939,"2,057","1,404",579,"1,596",351,"1,245"
2002 Q2,"14,874","13,117","2,435","2,798",621,"1,808",394,"1,141","2,113","1,252",555,"1,757",342,"1,415"
2002 Q3,"14,720","12,953","2,536","2,812",579,"1,753",409,"1,097","1,993","1,217",557,"1,767",296,"1,471"
2002 Q4,"16,439","14,708","2,820","3,225",652,"1,880",443,"1,087","2,040","1,885",676,"1,731",355,"1,376"
2003 Q1,"15,218","13,586","2,636","3,177",576,"1,872",409,993,"2,036","1,280",607,"1,632",326,"1,306"
2003 Q2,"16,412","14,505","2,667","3,268",677,"1,909",385,"1,209","2,254","1,559",577,"1,907",319,"1,588"
2003 Q3,"15,693","13,716","2,593","3,232",606,"1,905",361,"1,166","2,053","1,243",557,"1,977",289,"1,688"
2003 Q4,"16,751","14,936","2,808","3,451",586,"1,933",450,"1,081","2,096","1,878",653,"1,815",338,"1,477"
2004 Q1,"16,340","14,545","2,701","3,416",665,"1,986",425,"1,106","2,207","1,377",662,"1,795",356,"1,439"
2004 Q2,"16,397","14,434","2,675","3,186",662,"1,954",440,"1,269","2,264","1,378",606,"1,963",311,"1,652"
2004 Q3,"15,797","13,895","2,610","3,199",626,"1,922",428,"1,246","2,000","1,284",580,"1,902",305,"1,597"
2004 Q4,"17,661","15,709","2,908","3,600",667,"1,921",489,"1,189","2,157","2,003",775,"1,952",350,"1,602"
2005 Q1,"16,585","14,733","2,650","3,280",701,"2,000",440,"1,179","2,272","1,539",672,"1,852",347,"1,505"
2005 Q2,"16,869","14,783","2,670","3,350",700,"2,012",392,"1,397","2,334","1,318",610,"2,086",311,"1,775"
2005 Q3,"16,330","14,273","2,636","3,253",654,"1,990",383,"1,332","2,149","1,295",581,"2,057",297,"1,760"
2005 Q4,"18,038","16,072","2,981","3,595",735,"2,112",443,"1,251","2,165","2,005",785,"1,966",381,"1,585"
2006 Q1,"16,988","15,072","2,784","3,353",716,"2,114",420,"1,318","2,296","1,384",687,"1,916",327,"1,589"
2006 Q2,"17,436","15,356","2,794","3,302",815,"2,037",398,"1,464","2,426","1,453",667,"2,080",328,"1,752"
2006 Q3,"17,135","14,912","2,757","3,285",772,"2,084",389,"1,422","2,246","1,299",658,"2,223",346,"1,877"
2006 Q4,"18,675","16,640","3,027","3,605",778,"2,169",436,"1,391","2,388","2,083",763,"2,035",360,"1,675"
2007 Q1,"17,699","15,739","2,806","3,212",766,"2,223",390,"1,421","2,550","1,574",797,"1,960",343,"1,617"
2007 Q2,"17,971","15,769","2,884","3,264",913,"2,183",374,"1,467","2,575","1,440",669,"2,202",366,"1,836"
2007 Q3,"18,046","15,856","2,999","3,320",755,"2,203",392,"1,528","2,521","1,421",717,"2,190",341,"1,849"
2007 Q4,"19,651","17,575","3,238","3,805",781,"2,410",485,"1,395","2,523","2,157",781,"2,076",386,"1,690"
2008 Q1,"18,656","16,618","3,049","3,481",800,"2,353",512,"1,438","2,473","1,744",768,"2,038",355,"1,683"
2008 Q2,"20,039","17,742","3,268","3,497",935,"2,504",571,"1,735","2,887","1,543",802,"2,297",356,"1,941"
2008 Q3,"19,189","16,957","3,230","3,547",804,"2,374",554,"1,601","2,667","1,408",772,"2,232",356,"1,876"
2008 Q4,"20,001","17,873","3,356","3,567",753,"2,495",666,"1,456","2,573","2,134",873,"2,128",391,"1,737"
2009 Q1,"19,216","17,149","3,241","3,542",772,"2,458",535,"1,577","2,632","1,574",818,"2,067",397,"1,670"
2009 Q2,"20,471","18,093","3,426","3,733",791,"2,465",538,"1,894","2,875","1,573",798,"2,378",389,"1,989"
2009 Q3,"19,537","17,294","3,441","3,705",751,"2,424",506,"1,654","2,538","1,468",807,"2,243",385,"1,858"
2009 Q4,"20,846","18,621","3,748","4,009",734,"2,491",539,"1,513","2,498","2,133",956,"2,225",428,"1,797"
2010 Q1,"19,056","16,917","3,285","3,566",755,"2,333",491,"1,411","2,425","1,861",790,"2,139",407,"1,732"
2010 Q2,"20,876","18,476","3,592","3,639",908,"2,525",512,"1,836","3,004","1,613",847,"2,400",403,"1,997"
2010 Q3,"20,193","17,953","3,478","3,652",878,"2,413",557,"1,758","2,657","1,696",864,"2,240",412,"1,828"
2010 Q4,"21,299","19,142","3,676","3,861",784,"2,395",613,"1,584","2,799","2,454",976,"2,157",465,"1,692"
2011 Q1,"21,264","19,088","3,546","3,800",864,"2,473",631,"1,797","3,168","1,840",969,"2,176",444,"1,732"
2011 Q2,"21,441","19,136","3,519","3,839",860,"2,462",590,"1,925","3,185","1,925",831,"2,305",437,"1,868"
2011 Q3,"21,616","19,277","3,542","3,878",884,"2,481",623,"2,108","3,061","1,872",828,"2,339",428,"1,911"
2011 Q4,"23,110","20,744","3,931","4,227",851,"2,542",676,"1,752","3,017","2,649","1,099","2,366",487,"1,879"
2012 Q1,"21,946","19,590","3,560","4,056",831,"2,458",636,"1,887","3,108","2,072",982,"2,356",455,"1,901"
2012 Q2,"21,954","19,469","3,504","4,097",849,"2,486",623,"1,996","3,126","1,832",956,"2,485",440,"2,045"
2012 Q3,"21,672","19,214","3,586","4,109",818,"2,401",549,"2,027","2,919","1,945",860,"2,458",453,"2,005"
2012 Q4,"24,295","21,779","4,332","4,503",860,"2,529",603,"1,848","3,151","2,749","1,204","2,516",540,"1,976"
2013 Q1,"22,605","20,194","3,846","4,206",924,"2,561",568,"1,736","3,106","2,216","1,031","2,411",511,"1,900"
2013 Q2,"22,807","20,429","3,963","4,105",925,"2,551",586,"2,099","3,272","1,937",991,"2,378",483,"1,895"
2013 Q3,"23,244","20,812","3,977","4,146",913,"2,731",572,"2,145","3,250","2,078","1,000","2,432",465,"1,967"
2013 Q4,"24,347","21,892","4,131","4,537",941,"2,742",630,"1,919","3,147","2,767","1,078","2,455",501,"1,954"
2014 Q1,"23,358","21,012","4,036","4,251",945,"2,759",589,"2,008","3,234","2,197",993,"2,346",497,"1,849"
2014 Q2,"23,403","21,045","3,901","4,216",926,"2,657",546,"2,211","3,351","2,259",978,"2,358",476,"1,882"
2014 Q3,"23,156","20,821","3,903","4,320",921,"2,660",531,"2,355","3,171","2,050",910,"2,335",481,"1,854"
2014 Q4,"24,448","22,024","4,280","4,637",919,"2,674",565,"2,025","3,072","2,801","1,051","2,424",540,"1,884"
2015 Q1,"22,867","20,618","4,103","4,165",933,"2,518",553,"1,926","3,073","2,350",997,"2,249",507,"1,742"
