Time period and codes,"Furnishing, household equipment and routine HH maintenance","Furniture and furnishings, carpets and other floor coverings",Furniture and furnishings,Carpets and other floor coverings,"Repair of furniture, furnishings and floor coverings",Household textiles,other Household textiles,Household appliances,Major appliances whether electrical or not,Small electric household appliances,Repair of household appliances,"Glassware, tableware and household utensils","Glassware, tableware and household utensils",Tools and equipment for house and garden,Major tools and equipment,Small tools and equipment,Goods and services for routine household maintenance,Non-durable household goods,Domestic and household services
COICOP identifier code,5,5.1,05.1.1,05.1.2,05.1.3,5.2,05.2.1,5.3,05.3.1,05.3.2,05.3.3,5.4,05.4.1,5.5,05.5.1,05.5.2,5.6,05.6.1,05.6.2
CDID identifier code,ADFY,ADFZ,ADVM,ADVN,ADVO,ADGG,ADGG 2,ADGL,ADVP,ADVQ,ADVR,ADGM,ADGM 2,ADGN,ADVS,ADVT,ADGO,ADVU,ADVV
1997 Q1,"7,888","3,275","2,355",913,7,845,845,"1,301","1,022",164,115,717,717,593,77,516,"1,157",665,492
1997 Q2,"7,477","2,951","2,244",700,7,807,807,"1,146",950,152,44,717,717,674,75,599,"1,182",720,462
1997 Q3,"7,500","2,881","2,219",654,8,815,815,"1,207",951,148,108,734,734,661,79,582,"1,202",728,474
1997 Q4,"8,960","3,445","2,656",781,8,999,999,"1,605","1,305",209,91,957,957,710,79,631,"1,244",759,485
1998 Q1,"7,964","3,082","2,378",695,9,885,885,"1,261","1,002",166,93,815,815,695,79,616,"1,226",732,494
1998 Q2,"8,132","3,201","2,433",761,7,880,880,"1,129",930,153,46,877,877,807,84,723,"1,238",756,482
1998 Q3,"8,470","3,358","2,527",822,9,914,914,"1,247",976,154,117,919,919,755,86,669,"1,277",775,502
1998 Q4,"9,736","3,820","2,906",904,10,"1,047","1,047","1,676","1,350",222,104,"1,141","1,141",755,84,671,"1,297",783,514
1999 Q1,"8,418","3,329","2,535",784,10,877,877,"1,258","1,001",170,87,925,925,755,94,661,"1,274",785,489
1999 Q2,"8,337","3,293","2,540",743,10,849,849,"1,125",901,149,75,951,951,814,93,721,"1,305",803,502
1999 Q3,"8,663","3,430","2,666",754,10,889,889,"1,258",958,151,149,961,961,761,94,667,"1,364",831,533
1999 Q4,"10,105","3,992","3,147",834,11,"1,103","1,103","1,646","1,337",219,90,"1,188","1,188",759,91,668,"1,417",834,583
2000 Q1,"8,936","3,538","2,749",778,11,888,888,"1,369","1,097",179,93,"1,031","1,031",732,98,634,"1,378",811,567
2000 Q2,"8,891","3,474","2,676",787,11,882,882,"1,254","1,011",158,85,"1,035","1,035",823,95,728,"1,423",827,596
2000 Q3,"9,138","3,602","2,789",801,12,924,924,"1,351","1,047",159,145,"1,023","1,023",734,95,639,"1,504",874,630
2000 Q4,"10,578","4,229","3,343",872,14,"1,141","1,141","1,668","1,358",220,90,"1,282","1,282",743,86,657,"1,515",859,656
