Time period and codes,Health,"Medical products, appliances and equipment",Pharmaceutical products,Other medical products,Therapeutic appliances and equipment,Out-patient services,Medical services,Dental services,Paramedical services,Hospital services,other Hospital services
COICOP identifier code,06,06.1,06.1.1,06.1.2,06.1.3,06.2,06.2.1,06.2.2,06.2.3,06.3,06.3.1
CDID identifier code,ADGP,ADGQ,UTXM,UUPU,UUPV,ADGR,ADVW,ADVX,UTME,ADGS,ADGS 2
1997 Q1,"2,490",960,506,61,393,937,570,298,69,593,593
1997 Q2,"2,414",937,486,55,396,879,528,292,59,598,598
1997 Q3,"2,439",941,479,69,393,879,522,295,62,619,619
1997 Q4,"2,618",998,542,91,365,987,592,322,73,633,633
1998 Q1,"2,540",951,513,64,374,979,554,345,80,610,610
1998 Q2,"2,561",956,525,55,376,978,548,349,81,627,627
1998 Q3,"2,511",993,543,70,380,896,505,322,69,622,622
1998 Q4,"2,545","1,070",583,92,395,873,516,298,59,602,602
1999 Q1,"2,398",985,522,58,405,837,501,284,52,576,576
1999 Q2,"2,489","1,009",507,52,450,888,552,282,54,592,592
1999 Q3,"2,424","1,026",492,71,463,821,475,288,58,577,577
1999 Q4,"2,533","1,129",529,94,506,808,467,287,54,596,596
2000 Q1,"2,395","1,027",463,61,503,775,430,291,54,593,593
2000 Q2,"2,387","1,038",447,58,533,755,403,299,53,594,594
2000 Q3,"2,585","1,094",468,73,553,856,477,316,63,635,635
2000 Q4,"2,655","1,244",595,96,553,809,416,319,74,602,602
2001 Q1,"3,045","1,193",595,63,535,"1,135",748,308,79,717,717
2001 Q2,"2,877","1,160",652,47,461,"1,045",670,293,82,672,672
2001 Q3,"2,802","1,177",704,58,415,975,616,281,78,650,650
2001 Q4,"2,963","1,335",864,80,391,982,605,289,88,646,646
2002 Q1,"3,155","1,238",734,56,448,"1,198",788,306,104,719,719
2002 Q2,"3,101","1,299",746,53,500,"1,109",668,322,119,693,693
2002 Q3,"3,045","1,342",737,56,549,"1,021",593,324,104,682,682
2002 Q4,"3,173","1,505",833,78,594,985,579,313,93,683,683
2003 Q1,"3,293","1,371",672,54,645,"1,154",770,297,87,768,768
2003 Q2,"3,202","1,380",664,48,668,"1,067",691,277,99,755,755
2003 Q3,"3,146","1,356",660,48,648,"1,034",663,269,102,756,756
2003 Q4,"3,273","1,455",776,63,616,"1,065",691,278,96,753,753
2004 Q1,"3,270","1,267",641,56,570,"1,208",819,302,87,795,795
2004 Q2,"3,313","1,286",669,53,564,"1,230",811,332,87,797,797
2004 Q3,"3,058","1,219",651,51,517,"1,085",652,344,89,754,754
2004 Q4,"3,238","1,253",697,68,488,"1,188",767,327,94,797,797
2005 Q1,"3,170","1,061",524,60,477,"1,275",851,318,106,834,834
2005 Q2,"3,114","1,019",462,51,506,"1,251",814,324,113,844,844
2005 Q3,"3,357",995,402,51,542,"1,430",939,347,144,932,932
2005 Q4,"3,410","1,002",383,68,551,"1,446",927,354,165,962,962
2006 Q1,"2,611",838,223,46,569,936,403,335,198,837,837
2006 Q2,"2,681",874,232,55,587,954,428,350,176,853,853
2006 Q3,"2,913",922,299,49,574,"1,095",570,374,151,896,896
2006 Q4,"3,155","1,148",546,64,538,"1,162",588,448,126,845,845
2007 Q1,"3,750","1,270",679,59,532,"1,545",916,506,123,935,935
2007 Q2,"3,855","1,498",888,53,557,"1,462",788,555,119,895,895
2007 Q3,"3,903","1,625",971,59,595,"1,373",717,539,117,905,905
2007 Q4,"4,250","1,948","1,240",71,637,"1,363",769,484,110,939,939
2008 Q1,"3,992","1,629",900,63,666,"1,388",837,441,110,975,975
2008 Q2,"3,893","1,541",847,65,629,"1,343",782,449,112,"1,009","1,009"
2008 Q3,"3,795","1,401",734,63,604,"1,334",748,459,127,"1,060","1,060"
2008 Q4,"3,986","1,428",755,60,613,"1,430",827,468,135,"1,128","1,128"
2009 Q1,"3,769","1,307",575,61,671,"1,316",733,427,156,"1,146","1,146"
2009 Q2,"3,824","1,344",590,78,676,"1,296",719,413,164,"1,184","1,184"
2009 Q3,"3,828","1,280",609,62,609,"1,320",715,435,170,"1,228","1,228"
2009 Q4,"4,040","1,420",761,66,593,"1,376",728,486,162,"1,244","1,244"
2010 Q1,"3,994","1,401",740,58,603,"1,357",662,532,163,"1,236","1,236"
2010 Q2,"4,118","1,591",885,71,635,"1,312",660,495,157,"1,215","1,215"
2010 Q3,"4,162","1,600",920,60,620,"1,374",706,520,148,"1,188","1,188"
2010 Q4,"4,374","1,766","1,083",60,623,"1,454",769,552,133,"1,154","1,154"
2011 Q1,"4,522","1,602",905,58,639,"1,732",978,631,123,"1,188","1,188"
2011 Q2,"4,271","1,601",909,63,629,"1,572",815,583,174,"1,098","1,098"
2011 Q3,"4,303","1,579",894,63,622,"1,634",852,565,217,"1,090","1,090"
2011 Q4,"4,446","1,762","1,080",66,616,"1,596",847,490,259,"1,088","1,088"
2012 Q1,"4,471","1,631",963,61,607,"1,708",971,518,219,"1,132","1,132"
2012 Q2,"4,625","1,873","1,183",81,609,"1,598",875,526,197,"1,154","1,154"
2012 Q3,"4,915","2,023","1,313",78,632,"1,659",893,594,172,"1,233","1,233"
2012 Q4,"5,572","2,439","1,703",68,668,"1,787",965,631,191,"1,346","1,346"
2013 Q1,"5,407","2,201","1,519",60,622,"1,790",893,684,213,"1,416","1,416"
2013 Q2,"5,811","2,452","1,695",71,686,"1,847",882,745,220,"1,512","1,512"
2013 Q3,"6,042","2,616","1,777",77,762,"1,858",865,767,226,"1,568","1,568"
2013 Q4,"6,479","3,047","2,121",95,831,"1,876",915,751,210,"1,556","1,556"
2014 Q1,"6,159","2,616","1,737",60,819,"1,995","1,006",797,192,"1,548","1,548"
2014 Q2,"6,126","2,676","1,810",79,787,"1,947","1,021",749,177,"1,503","1,503"
2014 Q3,"5,912","2,540","1,732",84,724,"1,892",999,721,172,"1,480","1,480"
2014 Q4,"6,223","2,848","2,033",76,739,"1,910",952,754,204,"1,465","1,465"
2015 Q1,"6,095","2,643","1,641",159,843,"1,988",929,819,240,"1,464","1,464"
2015 Q2,"6,142","2,576","1,690",108,778,"2,062",868,920,274,"1,504","1,504"
2015 Q3,"6,204","2,558","1,675",98,785,"2,097",882,969,246,"1,549","1,549"
2015 Q4,"6,675","2,912","2,007",97,808,"2,187",899,"1,067",221,"1,576","1,576"
2016 Q1,"6,467","2,568","1,677",120,771,"2,276",912,"1,151",213,"1,623","1,623"
2016 Q2,"6,459","2,574","1,743",96,735,"2,205",861,"1,111",233,"1,680","1,680"
2016 Q3,"6,661","2,577","1,790",78,709,"2,290",880,"1,151",259,"1,794","1,794"
2016 Q4,"6,933","2,919","2,105",97,717,"2,562","1,163","1,130",269,"1,452","1,452"
2017 Q1,"6,754","2,583","1,690",113,780,"2,489",986,"1,224",279,"1,682","1,682"
2017 Q2,"6,915","2,711","1,778",108,825,"2,471","1,010","1,206",255,"1,733","1,733"
2017 Q3,"6,469","2,712","1,805",105,802,"2,037",647,"1,167",223,"1,720","1,720"
2017 Q4,"7,165","3,098","2,194",112,792,"2,347","1,038","1,115",194,"1,720","1,720"
2018 Q1,"6,812","2,702","1,725",118,859,"2,365","1,050","1,115",200,"1,745","1,745"
2018 Q2,"6,946","2,905","1,845",144,916,"2,261",948,"1,077",236,"1,780","1,780"
2018 Q3,"6,699","2,926","1,941",88,897,"2,012",688,"1,062",262,"1,761","1,761"
2018 Q4,"7,467","3,302","2,281",113,908,"2,398",996,"1,131",271,"1,767","1,767"
2019 Q1,"7,350","3,162","2,131",149,882,"2,379","1,050","1,076",253,"1,809","1,809"
2019 Q2,"7,181","3,227","2,212",118,897,"2,120",872,994,254,"1,834","1,834"
2019 Q3,"6,873","3,064","2,109",95,860,"1,884",667,961,256,"1,925","1,925"
2019 Q4,"7,294","3,179","2,159",111,909,"2,212","1,034",933,245,"1,903","1,903"
2020 Q1,"6,704","2,685","1,876",186,623,"2,163",969,956,238,"1,856","1,856"
2020 Q2,"4,285","2,095","1,794",108,193,966,615,170,181,"1,224","1,224"
2020 Q3,"5,003","2,613","1,730",133,750,895,451,219,225,"1,495","1,495"
2020 Q4,"6,277","3,047","1,915",174,958,"1,473",732,470,271,"1,757","1,757"
2021 Q1,"5,945","2,387","1,652",121,614,"1,632",902,450,280,"1,926","1,926"
2021 Q2,"6,678","2,857","1,821",180,856,"1,833",886,665,282,"1,988","1,988"
2021 Q3,"6,887","2,976","1,924",189,863,"1,802",839,636,327,"2,109","2,109"
2021 Q4,"7,828","3,207","2,190",158,859,"2,316","1,130",859,327,"2,305","2,305"
2022 Q1,"7,299","2,844","1,813",191,840,"2,147",892,915,340,"2,308","2,308"
2022 Q2,"7,289","3,042","1,941",137,964,"1,935",859,750,326,"2,312","2,312"
2022 Q3,"7,272","3,081","2,027",197,857,"2,025",857,926,242,"2,166","2,166"
2022 Q4,"8,334","3,561","2,383",189,989,"2,370","1,165",864,341,"2,403","2,403"
2023 Q1,"8,192","3,107","2,100",137,870,"2,533","1,208",998,327,"2,552","2,552"
2023 Q2,"8,430","3,198","2,208",90,900,"2,557","1,118","1,095",344,"2,675","2,675"
2023 Q3,"8,462","3,307","2,181",156,970,"2,411",914,"1,193",304,"2,744","2,744"
2023 Q4,"9,018","3,540","2,518",150,872,"2,679","1,100","1,231",348,"2,799","2,799"
2024 Q1,"8,772","3,214","2,089",190,935,"2,668","1,053","1,261",354,"2,890","2,890"
2024 Q2,"8,905","3,304","2,183",131,990,"2,597",904,"1,344",349,"3,004","3,004"
2024 Q3,"8,784","3,222","2,148",130,944,"2,493",720,"1,445",328,"3,069","3,069"
2024 Q4,"9,371","3,497","2,419",141,937,"2,802",954,"1,530",318,"3,072","3,072"
