Time period and codes,"Housing, water, electricity, gas and other fuel",Actual rentals for housing,Actual rentals paid by tenants,Other actual rentals,Imputed rentals for housing,Imputed rentals for owner-occupiers,Other imputed rentals,Maintenance and repair of the dwelling,Materials,Services,Water and miscellaneous services,Water supply,Refuse collection,Sewerage collection,"Other services
[note 6]","Electricity, gas and other fuels",Electricity,Gas,Liquid fuels,Solid fuels,"Heat energy
[note 6]"
COICOP identifier code,04,04.1,04.1.1,04.1.2,04.2,04.2.1,04.2.2,04.3,04.3.1,04.3.2,04.4,04.4.1,04.4.2,04.4.3,04.4.4,04.5,04.5.1,04.5.2,04.5.3,04.5.4,04.5.5
CDID identifier code,ADFS,ADFT,ADUX,ADUY,ADFU,CDDF,ADVB,ADFV,ATKH,AWTY,ADFW,ADVE,UUOX,ADVG,UUOY,ADFX,CDDL,ADVI,ADVJ,ADVK,ADVL
1997 Q1,"41,051","5,853","5,835",18,"28,606","27,679",927,340,158,182,"1,202",595,18,589, [x] ,"5,050","2,315","2,355",191,189, [x] 
1997 Q2,"39,501","5,960","5,941",19,"28,878","27,936",942,350,177,173,"1,261",622,17,622, [x] ,"3,052","1,720","1,082",96,154, [x] 
1997 Q3,"39,246","5,994","5,974",20,"29,072","28,113",959,335,172,163,"1,273",630,19,624, [x] ,"2,572","1,612",729,84,147, [x] 
1997 Q4,"41,279","6,014","5,994",20,"29,230","28,255",975,338,177,161,"1,280",638,18,624, [x] ,"4,417","2,165","1,925",148,179, [x] 
1998 Q1,"41,948","6,292","6,271",21,"29,489","28,505",984,353,182,171,"1,285",640,17,628, [x] ,"4,529","2,152","2,093",140,144, [x] 
1998 Q2,"40,926","6,392","6,371",21,"29,751","28,760",991,347,211,136,"1,353",671,18,664, [x] ,"3,083","1,667","1,196",87,133, [x] 
1998 Q3,"40,643","6,441","6,420",21,"30,060","29,055","1,005",318,197,121,"1,333",665,17,651, [x] ,"2,491","1,583",711,75,122, [x] 
1998 Q4,"42,963","6,521","6,499",22,"30,580","29,557","1,023",330,190,140,"1,313",660,18,635, [x] ,"4,219","2,137","1,787",118,177, [x] 
1999 Q1,"43,492","6,432","6,410",22,"30,896","29,838","1,058",362,194,168,"1,268",646,16,606, [x] ,"4,534","2,092","2,140",126,176, [x] 
1999 Q2,"42,423","6,407","6,384",23,"31,478","30,394","1,084",354,213,141,"1,291",659,15,617, [x] ,"2,893","1,603","1,067",78,145, [x] 
1999 Q3,"42,392","6,477","6,453",24,"31,909","30,801","1,108",360,196,164,"1,284",653,15,616, [x] ,"2,362","1,580",583,67,132, [x] 
1999 Q4,"44,650","6,582","6,558",24,"32,241","31,122","1,119",367,195,172,"1,307",656,16,635, [x] ,"4,153","2,040","1,828",135,150, [x] 
2000 Q1,"45,571","6,666","6,642",24,"32,353","31,223","1,130",371,196,175,"1,346",643,14,689, [x] ,"4,835","2,183","2,341",182,129, [x] 
2000 Q2,"43,917","6,826","6,802",24,"32,371","31,243","1,128",398,223,175,"1,233",606,16,611, [x] ,"3,089","1,657","1,195",126,111, [x] 
2000 Q3,"43,583","6,919","6,896",23,"32,601","31,475","1,126",359,202,157,"1,242",605,18,619, [x] ,"2,462","1,575",655,129,103, [x] 
2000 Q4,"46,056","6,947","6,924",23,"32,999","31,874","1,125",407,202,205,"1,241",599,25,617, [x] ,"4,462","2,091","1,993",233,145, [x] 
2001 Q1,"46,981","6,979","6,956",23,"33,472","32,332","1,140",415,209,206,"1,243",601,32,610, [x] ,"4,872","2,098","2,380",216,178, [x] 
2001 Q2,"45,585","6,937","6,914",23,"33,856","32,699","1,157",453,253,200,"1,294",623,34,637, [x] ,"3,045","1,575","1,199",120,151, [x] 
2001 Q3,"45,388","7,023","7,000",23,"34,115","32,940","1,175",442,230,212,"1,294",628,29,637, [x] ,"2,514","1,585",660,129,140, [x] 
2001 Q4,"47,600","7,115","7,091",24,"34,493","33,299","1,194",458,231,227,"1,302",638,23,641, [x] ,"4,232","2,024","1,907",135,166, [x] 
2002 Q1,"48,422","7,256","7,231",25,"34,591","33,374","1,217",482,231,251,"1,349",648,45,656, [x] ,"4,744","2,158","2,263",186,137, [x] 
2002 Q2,"46,972","7,520","7,495",25,"34,522","33,289","1,233",472,250,222,"1,395",667,50,678, [x] ,"3,063","1,708","1,147",99,109, [x] 
2002 Q3,"46,795","7,787","7,761",26,"34,636","33,386","1,250",462,233,229,"1,405",682,45,678, [x] ,"2,505","1,679",628,106,92, [x] 
2002 Q4,"49,418","8,050","8,024",26,"35,061","33,789","1,272",451,221,230,"1,416",701,39,676, [x] ,"4,440","2,145","1,978",175,142, [x] 
2003 Q1,"49,983","8,206","8,179",27,"35,020","33,719","1,301",434,212,222,"1,432",719,51,662, [x] ,"4,891","2,127","2,413",254,97, [x] 
2003 Q2,"48,409","8,119","8,092",27,"35,403","34,084","1,319",470,246,224,"1,500",756,52,692, [x] ,"2,917","1,648","1,083",107,79, [x] 
2003 Q3,"48,402","8,136","8,108",28,"35,894","34,561","1,333",461,224,237,"1,492",752,46,694, [x] ,"2,419","1,586",674,97,62, [x] 
2003 Q4,"50,955","8,132","8,105",27,"36,278","34,938","1,340",486,222,264,"1,468",742,29,697, [x] ,"4,591","2,248","2,023",211,109, [x] 
2004 Q1,"52,227","8,307","8,279",28,"36,444","35,100","1,344",536,254,282,"1,469",730,27,712, [x] ,"5,471","2,433","2,721",221,96, [x] 
2004 Q2,"50,663","8,312","8,285",27,"36,621","35,274","1,347",607,307,300,"1,543",760,36,747, [x] ,"3,580","2,023","1,355",130,72, [x] 
