Time period and codes,Miscellaneous goods and services,Personal care,Hairdressing salons and personal grooming establishments,Electrical appliances for personal care,"Other appliances, articles and products for personal care",Prostitution,other Prostitution,"Personal effects n.e.c
[note 7]",Jewellery clocks and watches,Other personal effects,Social protection,oher Social protection,Insurance,Life insurance,Insurance connected with the dwelling,Insurance connected with health,Insurance connected with transport,Other insurance,"Financial services n.e.c
[note 7]","FISIM
[note 5]","Other financial services n.e.c
[note 7]","Other services
[note 7]","Other services n.e.c
[note 7]"
COICOP identifier code,12,12.1,12.1.1,12.1.2,12.1.3,12.2,12.2.1,12.3,12.3.1,12.3.2,12.4,12.4.1,12.5,12.5.1,12.5.2,12.5.3,12.5.4,12.5.5,12.6,12.6.1,12.6.2,12.7,12.7.1
CDID identifier code,ADII,ADIJ,CDEV,ADXR,ADXS,MNC8,MNC8 2,ADIK,ADXU,ADXV,ADIL,ADIL 2,ADIM,ADXW,ADXX,ADXY,ADXZ,ADYA,ADIN,C68S,ADYC,ADIO,ADIO 2
1997 Q1,"16,064","2,469",742,35,"1,692",510,510,875,782,93,"1,466","1,466","3,616","2,282",299,358,303,374,"5,160","2,623","2,537","1,968","1,968"
1997 Q2,"16,868","2,576",739,32,"1,805",516,516,998,861,137,"1,467","1,467","3,848","2,370",314,399,368,397,"5,494","2,973","2,521","1,969","1,969"
1997 Q3,"17,588","2,612",746,34,"1,832",524,524,"1,009",852,157,"1,489","1,489","3,812","2,464",291,361,330,366,"6,028","3,351","2,677","2,114","2,114"
1997 Q4,"18,402","3,155",773,49,"2,333",529,529,"1,338","1,131",207,"1,465","1,465","3,621","2,565",258,280,201,317,"6,221","3,395","2,826","2,073","2,073"
1998 Q1,"17,849","2,666",801,40,"1,825",536,536,971,824,147,"1,447","1,447","3,890","2,541",288,365,332,364,"6,429","3,535","2,894","1,910","1,910"
1998 Q2,"18,838","2,804",831,40,"1,933",544,544,"1,088",926,162,"1,415","1,415","4,025","2,644",290,373,350,368,"6,693","3,523","3,170","2,269","2,269"
1998 Q3,"19,138","2,901",859,43,"1,999",551,551,"1,081",907,174,"1,457","1,457","3,908","2,749",251,309,283,316,"7,067","3,664","3,403","2,173","2,173"
1998 Q4,"19,680","3,487",889,61,"2,537",562,562,"1,387","1,178",209,"1,427","1,427","3,613","2,855",199,199,120,240,"6,791","3,518","3,273","2,413","2,413"
1999 Q1,"20,322","2,985",909,49,"2,027",573,573,"1,031",888,143,"1,356","1,356","3,856","2,593",277,340,298,348,"7,993","4,488","3,505","2,528","2,528"
1999 Q2,"19,785","3,063",921,46,"2,096",585,585,"1,180","1,019",161,"1,396","1,396","3,848","2,677",276,312,242,341,"7,350","3,785","3,565","2,363","2,363"
1999 Q3,"18,555","3,152",930,48,"2,174",596,596,"1,170",999,171,"1,503","1,503","3,906","2,755",251,307,276,317,"6,172","2,740","3,432","2,056","2,056"
1999 Q4,"20,829","3,703",950,77,"2,676",606,606,"1,512","1,306",206,"1,491","1,491","4,115","2,835",272,345,320,343,"7,051","3,323","3,728","2,351","2,351"
2000 Q1,"21,275","3,143",977,56,"2,110",618,618,"1,054",901,153,"1,482","1,482","3,895","2,766",233,290,260,346,"8,511","4,627","3,884","2,572","2,572"
2000 Q2,"20,764","3,188",995,53,"2,140",628,628,"1,174","1,015",159,"1,543","1,543","3,883","2,814",217,274,251,327,"8,455","4,593","3,862","1,893","1,893"
2000 Q3,"20,766","3,226","1,015",57,"2,154",640,640,"1,194","1,025",169,"1,611","1,611","3,977","2,850",254,315,290,268,"8,128","4,353","3,775","1,990","1,990"
2000 Q4,"21,256","3,888","1,039",79,"2,770",652,652,"1,636","1,410",226,"1,628","1,628","3,474","2,874",160,172,127,141,"7,032","3,236","3,796","2,946","2,946"
2001 Q1,"20,874","3,272","1,088",66,"2,118",665,665,"1,169",975,194,"1,545","1,545","3,688","2,417",358,388,271,254,"8,134","4,321","3,813","2,401","2,401"
2001 Q2,"21,040","3,423","1,123",58,"2,242",677,677,"1,347","1,125",222,"1,659","1,659","4,371","2,415",418,529,481,528,"7,421","3,537","3,884","2,142","2,142"
2001 Q3,"21,448","3,468","1,139",39,"2,290",690,690,"1,331","1,100",231,"1,744","1,744","4,532","2,400",407,526,495,704,"7,441","3,622","3,819","2,242","2,242"
2001 Q4,"20,846","4,082","1,125",76,"2,881",701,701,"1,750","1,455",295,"1,603","1,603","4,032","2,370",372,447,379,464,"6,513","2,502","4,011","2,165","2,165"
2002 Q1,"20,032","3,547","1,130",48,"2,369",712,712,"1,359","1,130",229,"1,624","1,624","2,995","1,645",371,356,182,441,"7,564","3,593","3,971","2,231","2,231"
2002 Q2,"21,180","3,636","1,153",77,"2,406",723,723,"1,450","1,211",239,"1,794","1,794","3,539","1,615",434,517,431,542,"7,750","3,488","4,262","2,288","2,288"
2002 Q3,"21,390","3,631","1,176",68,"2,387",734,734,"1,368","1,124",244,"1,473","1,473","3,886","1,594",474,620,593,605,"8,102","3,901","4,201","2,196","2,196"
2002 Q4,"23,149","4,283","1,191",108,"2,984",746,746,"1,775","1,453",322,"1,498","1,498","4,054","1,596",499,668,650,641,"8,253","4,128","4,125","2,540","2,540"
2003 Q1,"21,194","3,713","1,185",58,"2,470",758,758,"1,247",997,250,"1,543","1,543","3,348","1,687",430,441,269,521,"8,111","4,108","4,003","2,474","2,474"
2003 Q2,"22,427","3,867","1,181",56,"2,630",770,770,"1,382","1,094",288,"1,559","1,559","4,102","1,711",518,647,573,653,"8,358","4,099","4,259","2,389","2,389"
2003 Q3,"23,021","3,938","1,152",100,"2,686",783,783,"1,367","1,066",301,"1,421","1,421","4,414","1,737",552,725,697,703,"8,748","4,230","4,518","2,350","2,350"
2003 Q4,"25,076","4,849","1,162",217,"3,470",796,796,"1,856","1,468",388,"1,395","1,395","4,032","1,755",497,614,540,626,"9,647","4,669","4,978","2,501","2,501"
2004 Q1,"23,313","4,010","1,195",122,"2,693",807,807,"1,330","1,088",242,"1,603","1,603","3,911","1,999",475,510,346,581,"9,159","4,615","4,544","2,493","2,493"
2004 Q2,"25,403","4,267","1,256",112,"2,899",820,820,"1,519","1,251",268,"1,617","1,617","4,653","2,002",585,715,616,735,"10,101","5,023","5,078","2,426","2,426"
2004 Q3,"26,786","4,316","1,306",103,"2,907",832,832,"1,510","1,240",270,"1,570","1,570","5,106","2,010",612,841,853,790,"10,713","5,606","5,107","2,739","2,739"
2004 Q4,"27,038","5,247","1,349",259,"3,639",843,843,"2,028","1,677",351,"1,556","1,556","4,185","2,036",500,576,454,619,"10,458","5,529","4,929","2,721","2,721"
2005 Q1,"27,074","4,230","1,357",95,"2,778",854,854,"1,369","1,126",243,"1,775","1,775","5,362","2,558",617,757,656,774,"10,831","4,924","5,907","2,653","2,653"
2005 Q2,"28,322","4,169","1,326",99,"2,744",865,865,"1,495","1,240",255,"1,776","1,776","6,441","2,618",755,"1,043","1,045",980,"10,842","5,251","5,591","2,734","2,734"
2005 Q3,"27,620","4,278","1,302",126,"2,850",876,876,"1,521","1,251",270,"1,831","1,831","4,951","2,711",552,595,420,673,"11,049","5,423","5,626","3,114","3,114"
2005 Q4,"28,750","5,151","1,314",167,"3,670",888,888,"2,041","1,675",366,"1,728","1,728","5,086","2,778",556,616,456,680,"11,143","5,478","5,665","2,713","2,713"
2006 Q1,"27,784","4,324","1,368",72,"2,884",900,900,"1,448","1,176",272,"2,040","2,040","4,749","3,227",324,410,379,409,"11,484","5,253","6,231","2,839","2,839"
2006 Q2,"28,513","4,558","1,404",88,"3,066",913,913,"1,633","1,312",321,"1,978","1,978","5,009","3,247",356,476,476,454,"11,643","5,187","6,456","2,779","2,779"
2006 Q3,"29,092","4,563","1,402",67,"3,094",926,926,"1,609","1,275",334,"1,977","1,977","4,303","3,250",269,275,183,326,"12,576","6,018","6,558","3,138","3,138"
2006 Q4,"30,572","5,447","1,377",197,"3,873",939,939,"2,114","1,664",450,"1,826","1,826","4,542","3,260",291,343,283,365,"12,870","6,127","6,743","2,834","2,834"
2007 Q1,"28,305","4,493","1,373",99,"3,021",954,954,"1,418","1,130",288,"2,076","2,076","4,414","2,878",416,405,214,501,"12,101","5,429","6,672","2,849","2,849"
2007 Q2,"31,120","4,825","1,380",78,"3,367",968,968,"1,592","1,257",335,"1,960","1,960","6,095","2,918",651,863,829,834,"12,473","5,660","6,813","3,207","3,207"
2007 Q3,"31,785","4,950","1,403",99,"3,448",982,982,"1,550","1,220",330,"1,848","1,848","5,683","2,938",588,740,673,744,"13,477","6,610","6,867","3,295","3,295"
2007 Q4,"32,227","5,940","1,404",184,"4,352",997,997,"2,255","1,859",396,"1,945","1,945","5,663","2,939",604,733,636,751,"12,500","5,513","6,987","2,927","2,927"
2008 Q1,"31,845","4,855","1,454",52,"3,349","1,011","1,011","1,470","1,188",282,"2,791","2,791","4,885","1,885",649,811,726,814,"13,923","7,396","6,527","2,910","2,910"
2008 Q2,"31,204","4,975","1,430",71,"3,474","1,024","1,024","1,754","1,483",271,"2,398","2,398","4,272","1,800",555,665,561,691,"13,751","7,439","6,312","3,030","3,030"
2008 Q3,"30,827","4,790","1,419",62,"3,309","1,032","1,032","1,711","1,449",262,"2,294","2,294","4,319","1,724",561,698,630,706,"13,603","7,601","6,002","3,078","3,078"
2008 Q4,"31,427","5,294","1,367",175,"3,752","1,040","1,040","2,116","1,787",329,"2,242","2,242","3,839","1,655",512,585,448,639,"13,983","8,015","5,968","2,913","2,913"
2009 Q1,"28,131","4,544","1,443",48,"3,053","1,046","1,046","1,587","1,368",219,"2,534","2,534","4,541","2,519",471,542,429,580,"11,108","5,168","5,940","2,771","2,771"
2009 Q2,"28,416","4,805","1,475",66,"3,264","1,052","1,052","1,711","1,443",268,"2,450","2,450","5,258","2,533",568,738,696,723,"10,212","4,463","5,749","2,928","2,928"
2009 Q3,"27,473","4,786","1,444",68,"3,274","1,060","1,060","1,620","1,332",288,"2,365","2,365","4,984","2,585",516,645,587,651,"9,604","3,912","5,692","3,054","3,054"
2009 Q4,"28,414","5,728","1,414",119,"4,195","1,069","1,069","2,255","1,868",387,"2,471","2,471","4,423","2,633",428,477,356,529,"9,401","3,664","5,737","3,067","3,067"
