Time period and codes,Recreation and culture,Audio-visual etc equipment,Audio visual and recording equipment,Photographic etc equipment,Information processing equipment,Recording media,Repairs of audio-visual etc equipment,Other major durables for recreation and culture,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,Maintenance and repairs of other major durables,"Other recreational items and equipment, gardens and pets","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden, plants and flowers",Pets and related products,Veterinary and other services for pets,Recreational and  cultural services,Recreational and sporting services,Cultural services,Games of chance,"Newspapers, books and stationery",Books,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,"Package holidays
[note 2]","Other Package holidays
[note 2]"
COICOP identifier code,09,09.1,09.1.1,09.1.2,09.1.3,09.1.4,09.1.5,09.2,09.2.1,09.2.2,09.2.3,09.3,09.3.1,09.3.2,09.3.3,09.3.4,09.3.5,09.4,09.4.1,09.4.2,09.4.3,09.5,09.5.1,09.5.2,09.5.3,09.5.4,09.6,09.6.1
CDID identifier code,ADGY,ADGZ,ADWQ,ADWR,ADWS,ADWT,ADWU,ADHL,ADWV,ADWW,ADWX,ADHZ,ADWY,ADWZ,AWTW,ADXB,ADXC,ADIA,ADXD,ADXE,CDEM,ADIC,CDEO,CDEP,ADXI,ADXJ,ADID,ADID 2
1997 Q1,"14,064","3,105","1,079",172,841,957,56,959,587,70,302,"3,470",941,756,793,770,210,"4,440",942,"1,836","1,662","2,090",345,946,495,304, [x] , [x] 
1997 Q2,"14,811","2,862",918,211,790,894,49,977,605,69,303,"3,866",880,859,"1,173",746,208,"5,024",992,"2,247","1,785","2,082",383,962,446,291, [x] , [x] 
1997 Q3,"14,041","2,895",870,254,799,923,49,972,597,70,305,"3,161",815,847,616,686,197,"4,970",985,"2,194","1,791","2,043",334,965,451,293, [x] , [x] 
1997 Q4,"15,880","4,040","1,173",366,"1,096","1,350",55,932,529,96,307,"3,475","1,067","1,055",511,645,197,"4,944",926,"2,250","1,768","2,489",580,954,571,384, [x] , [x] 
1998 Q1,"14,595","3,195",897,249,928,"1,060",61,"1,044",664,71,309,"3,419",962,796,842,616,203,"4,819",932,"2,081","1,806","2,118",367,946,475,330, [x] , [x] 
1998 Q2,"15,312","3,064",843,269,857,"1,032",63,"1,089",721,57,311,"3,877",974,832,"1,226",624,221,"5,092",990,"2,328","1,774","2,190",386,964,477,363, [x] , [x] 
1998 Q3,"15,033","3,299",915,294,898,"1,129",63,"1,124",753,57,314,"3,273","1,052",790,577,622,232,"5,121","1,021","2,333","1,767","2,216",366,976,496,378, [x] , [x] 
1998 Q4,"17,401","4,629","1,370",349,"1,189","1,663",58,"1,105",709,79,317,"3,809","1,424",924,572,638,251,"5,118",969,"2,393","1,756","2,740",642,992,626,480, [x] , [x] 
1999 Q1,"15,875","3,696","1,099",298,934,"1,316",49,"1,295",909,66,320,"3,638","1,134",744,897,608,255,"4,891","1,020","2,145","1,726","2,355",447,"1,021",513,374, [x] , [x] 
