Time period and codes,Restaurant and hotels,Catering services,"Restaurants, cafes etc
[note 3][note 4]",Canteens,Hotel Accommodation,Other Accommodation
COICOP identifier code,11,11.1,11.1.1,11.1.2,11.2,11.2.1
CDID identifier code,ADIF,ADIG,ADXO,ADXP,ADIH,ADIH 2
1997 Q1,"12,811","10,679","9,694",985,"2,132","2,132"
1997 Q2,"15,853","12,736","11,567","1,169","3,117","3,117"
1997 Q3,"16,513","12,891","11,894",997,"3,622","3,622"
1997 Q4,"15,871","13,252","12,176","1,076","2,619","2,619"
1998 Q1,"13,734","11,455","10,281","1,174","2,279","2,279"
1998 Q2,"16,133","12,960","11,733","1,227","3,173","3,173"
1998 Q3,"17,438","13,717","12,642","1,075","3,721","3,721"
1998 Q4,"16,855","14,199","13,029","1,170","2,656","2,656"
1999 Q1,"14,562","12,172","10,949","1,223","2,390","2,390"
1999 Q2,"16,735","13,640","12,377","1,263","3,095","3,095"
1999 Q3,"18,181","14,349","13,230","1,119","3,832","3,832"
1999 Q4,"17,658","14,958","13,671","1,287","2,700","2,700"
2000 Q1,"15,444","12,918","11,512","1,406","2,526","2,526"
2000 Q2,"17,662","14,280","12,967","1,313","3,382","3,382"
2000 Q3,"19,166","15,136","13,931","1,205","4,030","4,030"
2000 Q4,"18,760","15,674","14,322","1,352","3,086","3,086"
2001 Q1,"16,170","13,389","12,107","1,282","2,781","2,781"
2001 Q2,"18,008","14,743","13,611","1,132","3,265","3,265"
2001 Q3,"19,864","15,662","14,624","1,038","4,202","4,202"
2001 Q4,"18,946","16,067","14,887","1,180","2,879","2,879"
2002 Q1,"16,755","14,096","12,921","1,175","2,659","2,659"
2002 Q2,"18,943","15,413","14,352","1,061","3,530","3,530"
2002 Q3,"20,844","16,245","15,281",964,"4,599","4,599"
2002 Q4,"20,181","16,609","15,454","1,155","3,572","3,572"
2003 Q1,"17,664","14,745","13,593","1,152","2,919","2,919"
2003 Q2,"20,167","16,488","15,435","1,053","3,679","3,679"
2003 Q3,"22,276","17,328","16,322","1,006","4,948","4,948"
2003 Q4,"21,159","17,367","16,176","1,191","3,792","3,792"
2004 Q1,"18,581","15,411","14,210","1,201","3,170","3,170"
2004 Q2,"21,340","17,200","16,068","1,132","4,140","4,140"
2004 Q3,"23,027","17,683","16,597","1,086","5,344","5,344"
2004 Q4,"22,468","18,262","17,040","1,222","4,206","4,206"
2005 Q1,"19,708","16,336","15,148","1,188","3,372","3,372"
2005 Q2,"22,075","17,917","16,748","1,169","4,158","4,158"
2005 Q3,"23,982","18,622","17,567","1,055","5,360","5,360"
2005 Q4,"23,055","18,856","17,617","1,239","4,199","4,199"
2006 Q1,"20,123","16,688","15,453","1,235","3,435","3,435"
2006 Q2,"23,157","18,711","17,533","1,178","4,446","4,446"
2006 Q3,"24,814","18,987","17,927","1,060","5,827","5,827"
2006 Q4,"23,133","18,977","17,737","1,240","4,156","4,156"
2007 Q1,"20,244","16,821","15,602","1,219","3,423","3,423"
2007 Q2,"24,072","19,429","18,257","1,172","4,643","4,643"
2007 Q3,"26,255","20,377","19,323","1,054","5,878","5,878"
2007 Q4,"24,182","19,962","18,681","1,281","4,220","4,220"
2008 Q1,"21,770","18,139","16,952","1,187","3,631","3,631"
2008 Q2,"25,139","20,496","19,295","1,201","4,643","4,643"
2008 Q3,"26,450","20,720","19,612","1,108","5,730","5,730"
2008 Q4,"22,526","18,533","17,256","1,277","3,993","3,993"
