Time period and codes,Transport,Purchase of vehicles,Motor cars,Motor cycles,Bicycles,Operation of personal transport equipment,Spare parts and accessories for personal transport equipment,Fuels and lubricants for personal transport equipment,Maintenance and repair of personal transport equipment,Other services in respect of personal transport equipment,Transport services,Rail,Road,Air,Sea and inland waterway,Other purchased transport services
COICOP identifier code,07,07.1,07.1.1,07.1.2,07.1.3,07.2,07.2.1,07.2.2,07.2.3,07.2.4,07.3,07.3.1,07.3.2,07.3.3,07.3.4,07.3.6
CDID identifier code,ADGT,ADGU,ADVZ,ADWA,ADWB,ADGV,AWTV,CDDY,AWTZ,ADWG,ADGW,AWUA,ADWI,AWUB,AWUC,AWUD
1997 Q1,"19,236","7,244","7,005",136,103,"7,720",716,"3,806","2,414",784,"4,272",860,"1,187","1,610",410,205
1997 Q2,"20,308","7,039","6,722",214,103,"8,253",860,"4,020","2,555",818,"5,016",921,"1,380","2,138",338,239
1997 Q3,"25,195","10,341","10,025",214,102,"8,311",891,"4,021","2,586",813,"6,543","1,009","1,524","3,011",703,296
1997 Q4,"19,385","6,014","5,794",119,101,"8,297",832,"4,131","2,582",752,"5,074",941,"1,594","1,852",470,217
1998 Q1,"21,762","8,531","8,249",184,98,"8,544",857,"4,255","2,581",851,"4,687",885,"1,312","1,815",459,216
1998 Q2,"21,140","7,137","6,779",259,99,"8,561","1,017","4,047","2,643",854,"5,442",924,"1,547","2,314",406,251
1998 Q3,"25,725","10,041","9,694",243,104,"8,860","1,035","4,234","2,685",906,"6,824","1,015","1,597","3,220",686,306
1998 Q4,"20,419","6,273","6,036",126,111,"8,607",981,"4,155","2,701",770,"5,539",965,"1,603","2,235",513,223
1999 Q1,"21,847","8,761","8,416",224,121,"8,616",992,"4,053","2,687",884,"4,470",919,"1,326","1,908",85,232
1999 Q2,"23,759","8,594","8,163",301,130,"9,226","1,176","4,383","2,751",916,"5,939",945,"1,534","2,454",726,280
1999 Q3,"26,896","9,540","9,133",271,136,"9,587",906,"4,906","2,836",939,"7,769","1,004","1,598","3,507","1,297",363
1999 Q4,"21,473","6,659","6,368",150,141,"9,527",990,"4,912","2,806",819,"5,287","1,029","1,678","2,270",51,259
2000 Q1,"23,187","9,160","8,811",207,142,"9,310",892,"4,634","2,819",965,"4,717","1,027","1,429","1,981",18,262
2000 Q2,"25,037","8,675","8,243",288,144,"9,870",974,"5,115","2,860",921,"6,492","1,059","1,703","2,739",667,324
2000 Q3,"27,966","9,432","9,015",271,146,"10,017",845,"5,212","2,949","1,011","8,517","1,127","1,846","3,852","1,281",411
2000 Q4,"23,014","7,194","6,901",145,148,"9,893",899,"5,110","3,000",884,"5,927","1,025","1,866","2,531",221,284
2001 Q1,"25,130","10,295","9,940",204,151,"9,658",842,"4,927","2,911",978,"5,177",971,"1,543","2,202",186,275
2001 Q2,"26,301","9,641","9,186",305,150,"9,855","1,014","5,001","2,918",922,"6,805","1,019","1,731","2,895",824,336
2001 Q3,"28,885","10,621","10,204",268,149,"9,948",948,"4,898","3,034","1,068","8,316","1,065","1,798","3,977","1,054",422
2001 Q4,"23,669","8,318","8,027",145,146,"9,619",781,"4,807","3,093",938,"5,732","1,041","1,774","2,330",301,286
2002 Q1,"25,529","10,543","10,180",221,142,"9,790",838,"4,638","3,254","1,060","5,196",978,"1,506","2,278",146,288
2002 Q2,"26,422","9,810","9,356",315,139,"10,100",986,"4,743","3,356","1,015","6,512",981,"1,663","2,685",842,341
2002 Q3,"29,598","10,652","10,253",261,138,"10,456",850,"4,976","3,466","1,164","8,490",988,"1,765","3,953","1,356",428
2002 Q4,"24,108","8,142","7,848",151,143,"10,004",795,"4,731","3,501",977,"5,962",966,"1,732","2,565",409,290
2003 Q1,"26,663","10,935","10,569",219,147,"10,667",964,"5,154","3,480","1,069","5,061",916,"1,442","2,281",144,278
2003 Q2,"27,283","10,183","9,675",354,154,"10,573",969,"5,072","3,483","1,049","6,527",943,"1,565","2,781",920,318
2003 Q3,"30,428","11,315","10,926",224,165,"10,517",890,"4,903","3,508","1,216","8,596","1,010","1,672","4,093","1,402",419
2003 Q4,"25,187","8,579","8,253",152,174,"10,376",936,"4,940","3,478","1,022","6,232","1,074","1,637","2,774",443,304
2004 Q1,"27,013","11,482","11,085",212,185,"10,167",866,"4,811","3,512",978,"5,364","1,164","1,368","2,378",132,322
2004 Q2,"28,099","10,173","9,637",344,192,"10,987",988,"5,333","3,575","1,091","6,939","1,220","1,539","2,885",906,389
2004 Q3,"31,452","10,970","10,497",277,196,"11,307",917,"5,453","3,709","1,228","9,175","1,293","1,629","4,319","1,456",478
2004 Q4,"27,155","8,516","8,150",172,194,"11,683",852,"5,748","3,886","1,197","6,956","1,406","1,667","3,084",459,340
2005 Q1,"28,994","10,864","10,462",212,190,"12,032","1,099","5,608","4,159","1,166","6,098","1,337","1,491","2,785",142,343
2005 Q2,"29,771","10,296","9,768",344,184,"12,044",863,"6,042","3,964","1,175","7,431","1,323","1,795","3,042",907,364
2005 Q3,"33,587","11,074","10,603",291,180,"12,601",883,"6,233","4,135","1,350","9,912","1,295","1,927","4,702","1,527",461
2005 Q4,"28,666","8,679","8,352",147,180,"12,616","1,094","6,312","3,917","1,293","7,371","1,351","1,994","3,202",492,332
2006 Q1,"29,973","11,518","11,143",197,178,"12,063",938,"6,082","3,727","1,316","6,392","1,321","1,725","2,830",168,348
2006 Q2,"31,333","10,470","9,976",317,177,"12,524","1,004","6,286","3,963","1,271","8,339","1,278","2,058","3,406","1,166",431
2006 Q3,"34,579","11,188","10,748",266,174,"12,750","1,067","6,376","3,842","1,465","10,641","1,268","2,185","4,824","1,824",540
2006 Q4,"28,116","8,551","8,228",150,173,"11,810","1,218","5,684","3,588","1,320","7,755","1,300","2,154","3,406",450,445
