Time period and codes,Total durable goods,Household goods,Furniture and furnishings,Carpets and other floor coverings,Major appliances whether electrical or not,Major tools and equipment,Health,Therapeutic appliances and equipment,Transport,Purchase of vehicles,Motor cars,Motor cycles,Bicycles,Communication,Telephone and telefax equipment,other Telephone and telefax equipment,Recreation and culture,Audio visual and recording equipment,Photographic etc equipment,Information processing equipment,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,Miscellaneous,Jewellery clocks and watches
COICOP identifier code,TD,TD05,05.1.1,05.1.2,05.3.1,05.5.1,TD06,06.1.3,TD07,07.1,07.1.1,07.1.2,07.1.3,TD08,08.2,08.2.1,TD09,09.1.1,09.1.2,09.1.3,09.2.1,09.2.2,TD12,12.3.1
CDID identifier code,UTIA,LLIJ,ADVM,ADVN,ADVP,ADVS,LLIK,UUPV,LLIL,ADGU,ADVZ,ADWA,ADWB,LLIM,ADWO,ADWO 2,LLIN,ADWQ,ADWR,ADWS,ADWV,ADWW,LLIO,ADXU
1997 Q1,"15,783","4,367","2,355",913,"1,022",77,393,393,"7,244","7,244","7,005",136,103,248,248,248,"2,749","1,079",172,841,587,70,782,782
1997 Q2,"15,163","3,969","2,244",700,950,75,396,396,"7,039","7,039","6,722",214,103,305,305,305,"2,593",918,211,790,605,69,861,861
1997 Q3,"18,418","3,903","2,219",654,951,79,393,393,"10,341","10,341","10,025",214,102,339,339,339,"2,590",870,254,799,597,70,852,852
1997 Q4,"16,006","4,821","2,656",781,"1,305",79,365,365,"6,014","6,014","5,794",119,101,415,415,415,"3,260","1,173",366,"1,096",529,96,"1,131","1,131"
1998 Q1,"17,194","4,154","2,378",695,"1,002",79,374,374,"8,531","8,531","8,249",184,98,502,502,502,"2,809",897,249,928,664,71,824,824
1998 Q2,"15,840","4,208","2,433",761,930,84,376,376,"7,137","7,137","6,779",259,99,446,446,446,"2,747",843,269,857,721,57,926,926
1998 Q3,"19,126","4,411","2,527",822,976,86,380,380,"10,041","10,041","9,694",243,104,470,470,470,"2,917",915,294,898,753,57,907,907
1998 Q4,"17,401","5,244","2,906",904,"1,350",84,395,395,"6,273","6,273","6,036",126,111,615,615,615,"3,696","1,370",349,"1,189",709,79,"1,178","1,178"
1999 Q1,"18,326","4,414","2,535",784,"1,001",94,405,405,"8,761","8,761","8,416",224,121,552,552,552,"3,306","1,099",298,934,909,66,888,888
1999 Q2,"18,069","4,277","2,540",743,901,93,450,450,"8,594","8,594","8,163",301,130,541,541,541,"3,188","1,044",267,857,965,55,"1,019","1,019"
1999 Q3,"19,345","4,472","2,666",754,958,94,463,463,"9,540","9,540","9,133",271,136,568,568,568,"3,303","1,139",287,889,929,59,999,999
1999 Q4,"18,583","5,409","3,147",834,"1,337",91,506,506,"6,659","6,659","6,368",150,141,701,701,701,"4,002","1,604",401,"1,148",771,78,"1,306","1,306"
2000 Q1,"19,432","4,722","2,749",778,"1,097",98,503,503,"9,160","9,160","8,811",207,142,755,755,755,"3,391","1,173",298,959,892,69,901,901
2000 Q2,"18,523","4,569","2,676",787,"1,011",95,533,533,"8,675","8,675","8,243",288,144,637,637,637,"3,094","1,016",309,847,870,52,"1,015","1,015"
2000 Q3,"19,647","4,732","2,789",801,"1,047",95,553,553,"9,432","9,432","9,015",271,146,664,664,664,"3,241","1,077",349,907,850,58,"1,025","1,025"
2000 Q4,"19,787","5,659","3,343",872,"1,358",86,553,553,"7,194","7,194","6,901",145,148,857,857,857,"4,114","1,533",479,"1,271",753,78,"1,410","1,410"
2001 Q1,"21,286","5,127","2,943",827,"1,252",105,535,535,"10,295","10,295","9,940",204,151,714,714,714,"3,640","1,223",367,992,991,67,975,975
2001 Q2,"20,426","5,036","2,875",820,"1,180",161,461,461,"9,641","9,641","9,186",305,150,710,710,710,"3,453","1,122",338,914,"1,019",60,"1,125","1,125"
2001 Q3,"21,630","5,254","2,954",911,"1,282",107,415,415,"10,621","10,621","10,204",268,149,709,709,709,"3,531","1,184",347,942,987,71,"1,100","1,100"
2001 Q4,"21,825","6,148","3,410",954,"1,701",83,391,391,"8,318","8,318","8,027",145,146,972,972,972,"4,541","1,750",485,"1,327",856,123,"1,455","1,455"
2002 Q1,"22,174","5,520","3,254",894,"1,298",74,448,448,"10,543","10,543","10,180",221,142,743,743,743,"3,790","1,285",475,928,"1,078",24,"1,130","1,130"
2002 Q2,"20,775","5,067","3,066",835,"1,069",97,500,500,"9,810","9,810","9,356",315,139,707,707,707,"3,480","1,191",398,810,"1,061",20,"1,211","1,211"
2002 Q3,"21,632","5,178","3,095",846,"1,157",80,549,549,"10,652","10,652","10,253",261,138,684,684,684,"3,445","1,221",367,798,"1,025",34,"1,124","1,124"
2002 Q4,"21,761","6,353","3,612",905,"1,678",158,594,594,"8,142","8,142","7,848",151,143,817,817,817,"4,402","1,841",452,"1,135",900,74,"1,453","1,453"
2003 Q1,"22,533","5,404","3,252",840,"1,179",133,645,645,"10,935","10,935","10,569",219,147,821,821,821,"3,731","1,214",388,844,"1,185",100,997,997
2003 Q2,"21,861","5,526","3,285",829,"1,266",146,668,668,"10,183","10,183","9,675",354,154,741,741,741,"3,649","1,163",380,801,"1,281",24,"1,094","1,094"
2003 Q3,"23,046","5,542","3,302",805,"1,219",216,648,648,"11,315","11,315","10,926",224,165,731,731,731,"3,744","1,237",410,838,"1,230",29,"1,066","1,066"
2003 Q4,"22,552","6,310","3,910",880,"1,426",94,616,616,"8,579","8,579","8,253",152,174,855,855,855,"4,724","1,840",579,"1,174","1,006",125,"1,468","1,468"
2004 Q1,"23,597","5,239","3,328",801,"1,047",63,570,570,"11,482","11,482","11,085",212,185,"1,069","1,069","1,069","4,149","1,255",479,954,"1,420",41,"1,088","1,088"
2004 Q2,"22,385","5,311","3,275",866,"1,087",83,564,564,"10,173","10,173","9,637",344,192,944,944,944,"4,142","1,226",453,912,"1,538",13,"1,251","1,251"
2004 Q3,"23,480","5,593","3,381",921,"1,219",72,517,517,"10,970","10,970","10,497",277,196,949,949,949,"4,211","1,322",471,963,"1,439",16,"1,240","1,240"
2004 Q4,"23,420","6,504","3,976",987,"1,445",96,488,488,"8,516","8,516","8,150",172,194,"1,074","1,074","1,074","5,161","1,892",612,"1,319","1,158",180,"1,677","1,677"
2005 Q1,"23,672","5,716","3,454",881,"1,271",110,477,477,"10,864","10,864","10,462",212,190,968,968,968,"4,521","1,464",510,926,"1,485",136,"1,126","1,126"
2005 Q2,"22,639","5,520","3,310",887,"1,230",93,506,506,"10,296","10,296","9,768",344,184,977,977,977,"4,100","1,313",493,855,"1,405",34,"1,240","1,240"
2005 Q3,"23,993","5,620","3,446",927,"1,114",133,542,542,"11,074","11,074","10,603",291,180,"1,040","1,040","1,040","4,466","1,396",525,915,"1,504",126,"1,251","1,251"
2005 Q4,"24,348","6,761","4,076",957,"1,633",95,551,551,"8,679","8,679","8,352",147,180,"1,299","1,299","1,299","5,383","2,084",716,"1,322","1,182",79,"1,675","1,675"
2006 Q1,"24,560","5,683","3,515",895,"1,196",77,569,569,"11,518","11,518","11,143",197,178,993,993,993,"4,621","1,616",524,980,"1,446",55,"1,176","1,176"
2006 Q2,"23,684","5,668","3,474",854,"1,247",93,587,587,"10,470","10,470","9,976",317,177,"1,019","1,019","1,019","4,628","1,552",537,953,"1,426",160,"1,312","1,312"
2006 Q3,"24,167","5,658","3,497",885,"1,177",99,574,574,"11,188","11,188","10,748",266,174,"1,033","1,033","1,033","4,439","1,559",553,962,"1,314",51,"1,275","1,275"
2006 Q4,"24,392","6,861","4,156",968,"1,636",101,538,538,"8,551","8,551","8,228",150,173,"1,260","1,260","1,260","5,518","2,232",710,"1,340","1,039",197,"1,664","1,664"
