Time period and codes,Total non-durable goods,Food and non-alcoholic beverages,Food,Bread and cereals,Meat,Fish,"Milk, cheese and eggs",Oils and fats,Fruit,Vegetables,"Sugar, confectionery and ice-cream",Other food,Non-alcoholic beverages,"Coffee, tea and cocoa",Fruit and vegetable juices and other soft drinks,"Alcoholic beverages, tobacco and narcotics","Alcoholic beverages 
[note 1]",Spirits,"Wines, cider and perry",Beer,Tobacco,other Tobacco,Narcotics,other Narcotics,"Housing, water, electricity, gas and other fuel",Maintenance and repairs of the dwelling materials,Water supply,"Electricity, gas and other fuels",Electricity,Gas,Liquid fuels,Solid fuels,"Heat energy
[note 6]",Household goods,Non-durable household goods,Health,Pharmaceutical products,Other medical products,Transport,Fuels and lubricants for personal transport equipment,Recreation and culture,"Garden, plants and flowers",Pets and related products,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,Miscellaneous,"Other  appliances, articles and products for personal care"
COICOP identifier code,TND,01,01.1,01.1.1,01.1.2,01.1.3,01.1.4,01.1.5,01.1.6,01.1.7,01.1.8,01.1.9,01.2,01.2.1,01.2.2,02,02.1,02.1.1,02.1.2,02.1.3,02.2,02.2.1,02.3,02.3.1,TND04,04.3.1,04.4.1,04.5,04.5.1,04.5.2,04.5.3,04.5.4,04.5.5,TND05,05.6.1,TND06,06.1.1,06.1.2,TND07,07.2.2,TND09,09.3.3,09.3.4,09.5.2,09.5.3,09.5.4,TND12,12.1.3
CDID identifier code,UTII,ABZV,ABZW,ADST,CDCJ,CDCK,CDCL,CDCM,CDCN,ADSZ,ADTD,ADTH,ADFK,CDCU,CDCV,ADFL,ADFM,UUHX,UTHT,UUMI,ADFN,ADFN 2,MNC2,MNC2 2,LLIX,ATKH,ADVE,ADFX,CDDL,ADVI,ADVJ,ADVK,ADVL,LLIY,ADVU,LLIZ,UTXM,UUPU,LLJA,CDDY,LLJB,AWTW,ADXB,CDEP,ADXI,ADXJ,LLJC,ADXS
1997 Q1,"36,056","12,950","11,764","2,280","2,725",457,"1,887",409,736,"1,620","1,099",551,"1,186",282,904,"7,265","2,077",620,852,605,"3,069","3,069","2,119","2,119","5,803",158,595,"5,050","2,315","2,355",191,189,[x],665,665,567,506,61,"3,806","3,806","3,308",793,770,946,495,304,"1,692","1,692"
1997 Q2,"35,587","13,456","12,124","2,291","2,714",462,"1,880",408,900,"1,825","1,124",520,"1,332",317,"1,015","7,576","2,335",630,975,730,"3,134","3,134","2,107","2,107","3,851",177,622,"3,052","1,720","1,082",96,154,[x],720,720,541,486,55,"4,020","4,020","3,618","1,173",746,962,446,291,"1,805","1,805"
1997 Q3,"34,023","12,997","11,672","2,236","2,608",438,"1,861",380,869,"1,608","1,212",460,"1,325",275,"1,050","7,512","2,313",585,933,795,"3,115","3,115","2,084","2,084","3,374",172,630,"2,572","1,612",729,84,147,[x],728,728,548,479,69,"4,021","4,021","3,011",616,686,965,451,293,"1,832","1,832"
1997 Q4,"38,431","14,085","12,758","2,498","2,958",461,"1,867",418,842,"1,726","1,387",601,"1,327",336,991,"8,193","2,990",916,"1,226",848,"3,153","3,153","2,050","2,050","5,232",177,638,"4,417","2,165","1,925",148,179,[x],759,759,633,542,91,"4,131","4,131","3,065",511,645,954,571,384,"2,333","2,333"
1998 Q1,"36,667","13,198","11,938","2,230","2,677",466,"1,894",366,804,"1,765","1,181",555,"1,260",312,948,"7,520","2,171",587,908,676,"3,339","3,339","2,010","2,010","5,351",182,640,"4,529","2,152","2,093",140,144,[x],732,732,577,513,64,"4,255","4,255","3,209",842,616,946,475,330,"1,825","1,825"
1998 Q2,"36,905","14,077","12,585","2,356","2,762",493,"1,923",391,917,"1,972","1,257",514,"1,492",315,"1,177","7,893","2,561",625,"1,048",888,"3,362","3,362","1,970","1,970","3,965",211,671,"3,083","1,667","1,196",87,133,[x],756,756,580,525,55,"4,047","4,047","3,654","1,226",624,964,477,363,"1,933","1,933"
1998 Q3,"35,541","13,879","12,357","2,335","2,659",474,"1,787",357,"1,027","1,859","1,355",504,"1,522",313,"1,209","7,639","2,402",596,989,817,"3,301","3,301","1,936","1,936","3,353",197,665,"2,491","1,583",711,75,122,[x],775,775,613,543,70,"4,234","4,234","3,049",577,622,976,496,378,"1,999","1,999"
1998 Q4,"39,142","14,368","12,927","2,476","2,850",482,"1,808",439,889,"1,830","1,508",645,"1,441",340,"1,101","8,247","3,077",933,"1,262",882,"3,259","3,259","1,911","1,911","5,069",190,660,"4,219","2,137","1,787",118,177,[x],783,783,675,583,92,"4,155","4,155","3,308",572,638,992,626,480,"2,537","2,537"
1999 Q1,"37,708","13,846","12,360","2,269","2,759",468,"1,820",428,825,"1,968","1,226",597,"1,486",371,"1,115","7,630","2,251",633,973,645,"3,484","3,484","1,895","1,895","5,374",194,646,"4,534","2,092","2,140",126,176,[x],785,785,580,522,58,"4,053","4,053","3,413",897,608,"1,021",513,374,"2,027","2,027"
1999 Q2,"38,330","14,966","13,286","2,432","2,872",557,"1,916",436,"1,056","2,113","1,245",659,"1,680",341,"1,339","7,958","2,531",666,"1,107",758,"3,540","3,540","1,887","1,887","3,765",213,659,"2,893","1,603","1,067",78,145,[x],803,803,559,507,52,"4,383","4,383","3,800","1,239",628,"1,040",502,391,"2,096","2,096"
1999 Q3,"37,162","14,285","12,614","2,309","2,756",502,"1,855",429,998,"1,841","1,382",542,"1,671",303,"1,368","7,921","2,481",622,"1,057",802,"3,555","3,555","1,885","1,885","3,211",196,653,"2,362","1,580",583,67,132,[x],831,831,563,492,71,"4,906","4,906","3,271",669,605,"1,074",528,395,"2,174","2,174"
1999 Q4,"40,265","14,070","12,658","2,379","2,811",476,"1,794",455,841,"1,760","1,519",623,"1,412",306,"1,106","8,679","3,292",990,"1,404",898,"3,499","3,499","1,888","1,888","5,004",195,656,"4,153","2,040","1,828",135,150,[x],834,834,623,529,94,"4,912","4,912","3,467",586,614,"1,100",668,499,"2,676","2,676"
2000 Q1,"39,048","13,954","12,427","2,327","2,810",512,"1,838",389,845,"1,852","1,223",631,"1,527",351,"1,176","7,690","2,305",629,"1,037",639,"3,493","3,493","1,892","1,892","5,674",196,643,"4,835","2,183","2,341",182,129,[x],811,811,524,463,61,"4,634","4,634","3,651",924,640,"1,114",565,408,"2,110","2,110"
