Time period and codes,Total semi-durable goods,Clothing and footwear,Clothing materials,Garments,Other articles of clothing and clothing accessories,Shoes and other footwear,Household goods,Household textiles,other Household textiles,Small electric household appliances,"Glassware, tableware and household appliances","other Glassware, tableware and household appliances",Small tools and equipment,Transport,Spare parts and accessories for personal transport equipment,Recreation and culture,Recording media,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation",Books,Miscellaneous,Electrical appliances for personal care,Other personal effects
COICOP identifier code,TSD,TSD03,03.1.1,03.1.2,03.1.3,03.2.1,TSD05,05.2,05.2.1,05.3.2,05.4,05.4.1,05.5.2,TSD07,07.2.1,TSD09,09.1.4,09.3.1,09.3.2,09.5.1,TSD12,12.1.2,12.3.2
CDID identifier code,UTIQ,LLJL,ADUQ,ADUR,ADUS,ADUV,LLJM,ADGG,ADGG 2,ADVQ,ADGM,ADGM 2,ADVT,LLJN,AWTV,LLJO,ADWT,ADWY,ADWZ,CDEO,LLJP,ADXR,ADXV
1997 Q1,"11,942","5,857",36,"4,600",299,922,"2,242",845,845,164,717,717,516,716,716,"2,999",957,941,756,345,128,35,93
1997 Q2,"13,010","6,690",35,"5,275",295,"1,085","2,275",807,807,152,717,717,599,860,860,"3,016",894,880,859,383,169,32,137
1997 Q3,"13,049","6,769",34,"5,364",287,"1,084","2,279",815,815,148,734,734,582,891,891,"2,919",923,815,847,334,191,34,157
1997 Q4,"17,169","9,233",43,"7,554",353,"1,283","2,796",999,999,209,957,957,631,832,832,"4,052","1,350","1,067","1,055",580,256,49,207
1998 Q1,"12,952","6,241",31,"5,083",253,874,"2,482",885,885,166,815,815,616,857,857,"3,185","1,060",962,796,367,187,40,147
1998 Q2,"14,204","7,128",31,"5,764",263,"1,070","2,633",880,880,153,877,877,723,"1,017","1,017","3,224","1,032",974,832,386,202,40,162
1998 Q3,"14,642","7,397",33,"5,952",267,"1,145","2,656",914,914,154,919,919,669,"1,035","1,035","3,337","1,129","1,052",790,366,217,43,174
1998 Q4,"18,588","9,603",39,"7,950",320,"1,294","3,081","1,047","1,047",222,"1,141","1,141",671,981,981,"4,653","1,663","1,424",924,642,270,61,209
1999 Q1,"14,089","6,631",34,"5,393",270,934,"2,633",877,877,170,925,925,661,992,992,"3,641","1,316","1,134",744,447,192,49,143
1999 Q2,"15,013","7,345",36,"5,943",287,"1,079","2,670",849,849,149,951,951,721,"1,176","1,176","3,615","1,208","1,178",844,385,207,46,161
1999 Q3,"15,163","7,548",39,"6,068",308,"1,133","2,668",889,889,151,961,961,667,906,906,"3,822","1,307","1,245",817,453,219,48,171
1999 Q4,"19,629","10,010",53,"8,280",417,"1,260","3,178","1,103","1,103",219,"1,188","1,188",668,990,990,"5,168","1,770","1,652",958,788,283,77,206
2000 Q1,"14,856","6,861",38,"5,608",301,914,"2,732",888,888,179,"1,031","1,031",634,892,892,"4,162","1,458","1,359",797,548,209,56,153
2000 Q2,"15,739","7,803",44,"6,359",347,"1,053","2,803",882,882,158,"1,035","1,035",728,974,974,"3,947","1,217","1,365",865,500,212,53,159
2000 Q3,"15,885","8,060",46,"6,514",364,"1,136","2,745",924,924,159,"1,023","1,023",639,845,845,"4,009","1,242","1,410",849,508,226,57,169
2000 Q4,"20,880","10,873",62,"9,050",477,"1,284","3,300","1,141","1,141",220,"1,282","1,282",657,899,899,"5,503","1,738","1,829","1,051",885,305,79,226
2001 Q1,"15,352","7,276",36,"6,015",283,942,"2,835",961,961,213,"1,009","1,009",652,842,842,"4,139","1,234","1,553",802,550,260,66,194
2001 Q2,"16,437","8,094",51,"6,616",280,"1,147","2,906",971,971,186,"1,068","1,068",681,"1,014","1,014","4,143","1,153","1,529",921,540,280,58,222
2001 Q3,"16,761","8,460",27,"6,902",308,"1,223","2,862","1,001","1,001",139,"1,053","1,053",669,948,948,"4,221","1,231","1,500",911,579,270,39,231
2001 Q4,"21,826","11,322",37,"9,485",394,"1,406","3,498","1,194","1,194",231,"1,276","1,276",797,781,781,"5,854","1,788","1,931","1,159",976,371,76,295
2002 Q1,"16,468","8,039",43,"6,620",274,"1,102","2,869","1,020","1,020",121,967,967,761,838,838,"4,445","1,364","1,659",867,555,277,48,229
2002 Q2,"17,567","8,879",40,"7,265",287,"1,287","2,969",991,991,222,975,975,781,986,986,"4,417","1,288","1,610",941,578,316,77,239
2002 Q3,"17,733","9,147",36,"7,481",297,"1,333","2,980","1,040","1,040",198,963,963,779,850,850,"4,444","1,366","1,588",866,624,312,68,244
2002 Q4,"22,963","12,019",10,"10,104",416,"1,489","3,511","1,225","1,225",280,"1,170","1,170",836,795,795,"6,208","2,107","2,034","1,024","1,043",430,108,322
2003 Q1,"17,080","8,533",52,"7,016",320,"1,145","2,822",964,964,238,885,885,735,964,964,"4,453","1,449","1,630",778,596,308,58,250
2003 Q2,"18,357","9,552",31,"7,820",346,"1,355","2,823",952,952,128,939,939,804,969,969,"4,669","1,412","1,750",868,639,344,56,288
2003 Q3,"18,670","9,763",38,"7,983",341,"1,401","2,774",993,993,137,965,965,679,890,890,"4,842","1,496","1,784",839,723,401,100,301
2003 Q4,"24,436","12,558",9,"10,475",473,"1,601","3,714","1,224","1,224",332,"1,263","1,263",895,936,936,"6,623","2,124","2,359","1,003","1,137",605,217,388
2004 Q1,"17,580","8,891",65,"7,183",430,"1,213","2,853",945,945,280,869,869,759,866,866,"4,606","1,592","1,668",730,616,364,122,242
2004 Q2,"18,883","9,815",115,"7,819",432,"1,449","2,975",964,964,232,943,943,836,988,988,"4,725","1,492","1,746",841,646,380,112,268
2004 Q3,"18,882","9,831",48,"7,816",505,"1,462","2,906",985,985,188,941,941,792,917,917,"4,855","1,540","1,745",841,729,373,103,270
2004 Q4,"24,250","12,804",52,"10,355",665,"1,732","3,532","1,185","1,185",375,"1,115","1,115",857,852,852,"6,452","2,106","2,243",895,"1,208",610,259,351
2005 Q1,"17,769","9,084",29,"7,216",559,"1,280","2,752",872,872,172,956,956,752,"1,099","1,099","4,496","1,535","1,614",643,704,338,95,243
2005 Q2,"18,426","9,883",88,"7,818",548,"1,429","2,802",874,874,131,938,938,859,863,863,"4,524","1,397","1,674",774,679,354,99,255
2005 Q3,"19,010","10,222",83,"8,086",559,"1,494","2,866",901,901,273,923,923,769,883,883,"4,643","1,471","1,721",705,746,396,126,270
2005 Q4,"25,102","13,414",28,"10,750",819,"1,817","3,521","1,115","1,115",340,"1,157","1,157",909,"1,094","1,094","6,540","2,102","2,261",990,"1,187",533,167,366
2006 Q1,"17,900","9,358",103,"7,372",557,"1,326","2,902",902,902,284,899,899,817,938,938,"4,358","1,349","1,546",767,696,344,72,272
2006 Q2,"19,531","10,513",94,"8,187",619,"1,613","3,120",954,954,177,"1,007","1,007",982,"1,004","1,004","4,485","1,343","1,547",916,679,409,88,321
